episode_id,family,coverage,cost_scenario,comparison,theorem_scope,terminal_wealth_gap,relative_terminal_wealth_gap,terminal_cash_gap,terminal_unit_gap,cash_contribution,unit_contribution,left_cash_drag,right_cash_drag,left_asset_exposure,right_asset_exposure,left_guardrail_activation_frequency,right_guardrail_activation_frequency,left_purchase_count,right_purchase_count,mechanisms,boundary_fixtures
constant-primary,constant,1,frictionless,corrected_guarded_vs_dca,epsilon-dca,0,0,0,0,0,0,0,0,1,1,1,0,4,4,neutral-score|constant-price-wealth-identity,constant
constant-primary,constant,1,frictionless,corrected_guarded_vs_neutral_guarded,epsilon-dca,0,0,0,0,0,0,0,0,1,1,1,1,4,4,neutral-score|constant-price-wealth-identity,constant
constant-primary,constant,1,frictionless,neutral_guarded_vs_dca,epsilon-dca,0,0,0,0,0,0,0,0,1,1,1,0,4,4,neutral-score|constant-price-wealth-identity,constant
constant-primary,constant,1,proportional-10bps,corrected_guarded_vs_dca,outside-current-safety-theorem,0,0,0,0,0,0,0.00000000000000000000000000000000000000000000000000000000000025,0.00000000000000000000000000000000000000000000000000000000000025,1,1,1,0,4,4,neutral-score|constant-price-wealth-identity,constant
constant-primary,constant,1,proportional-10bps,corrected_guarded_vs_neutral_guarded,outside-current-safety-theorem,0,0,0,0,0,0,0.00000000000000000000000000000000000000000000000000000000000025,0.00000000000000000000000000000000000000000000000000000000000025,1,1,1,1,4,4,neutral-score|constant-price-wealth-identity,constant
constant-primary,constant,1,proportional-10bps,neutral_guarded_vs_dca,outside-current-safety-theorem,0,0,0,0,0,0,0.00000000000000000000000000000000000000000000000000000000000025,0.00000000000000000000000000000000000000000000000000000000000025,1,1,1,0,4,4,neutral-score|constant-price-wealth-identity,constant
constant-primary,constant,1,fixed-1-usd,corrected_guarded_vs_dca,outside-current-safety-theorem,0,0,0,0,0,0,0,0,1,1,1,0,4,4,neutral-score|constant-price-wealth-identity,constant
constant-primary,constant,1,fixed-1-usd,corrected_guarded_vs_neutral_guarded,outside-current-safety-theorem,0,0,0,0,0,0,0,0,1,1,1,1,4,4,neutral-score|constant-price-wealth-identity,constant
constant-primary,constant,1,fixed-1-usd,neutral_guarded_vs_dca,outside-current-safety-theorem,0,0,0,0,0,0,0,0,1,1,1,0,4,4,neutral-score|constant-price-wealth-identity,constant
constant-primary,constant,0.9,frictionless,corrected_guarded_vs_dca,epsilon-dca,0,0,200,-2,200,-200,0.05,0,0.95,1,1,0,4,4,neutral-score|constant-price-wealth-identity,constant
constant-primary,constant,0.9,frictionless,corrected_guarded_vs_neutral_guarded,epsilon-dca,0,0,0,0,0,0,0.05,0.05,0.95,0.95,1,1,4,4,neutral-score|constant-price-wealth-identity,constant
constant-primary,constant,0.9,frictionless,neutral_guarded_vs_dca,epsilon-dca,0,0,200,-2,200,-200,0.05,0,0.95,1,1,0,4,4,neutral-score|constant-price-wealth-identity,constant
constant-primary,constant,0.9,proportional-10bps,corrected_guarded_vs_dca,outside-current-safety-theorem,0.19972532464412461289958169950057431957398874845814767784,0.00004998126249219218437812032030001872347339068430165145637946,199.925049968768737512481281200074893893562737206605825499424,-1.9972532464412461289958169950057431957398874845814767782159,199.925049968768737512481281200074893893562737206605825499424,-199.72532464412461289958169950057431957398874845814767782159,0.0499812624921921843781203203000187234733906843016514563748562,0.00000000000000000000000000000000000000000000000000000000000025,0.949971256745064402862799539150619557921277633620564840704902,1,1,0,4,4,neutral-score|constant-price-wealth-identity,constant
