episode_id,input_kind,family,dataset_id,horizon_months,coverage,corrected_mean_config,cost_scenario,policy,terminal_wealth,terminal_cash,terminal_units,total_fees,mean_guardrail_floor,theorem_scope
constant-primary,synthetic,constant,deterministic-adversarial-v1,4,1,identity-a0-b0,frictionless,dca,4000,0,40,0,,epsilon-dca
constant-primary,synthetic,constant,deterministic-adversarial-v1,4,1,identity-a0-b0,frictionless,neutral_guarded,4000,0,40,0,1000,epsilon-dca
constant-primary,synthetic,constant,deterministic-adversarial-v1,4,1,identity-a0-b0,frictionless,corrected_guarded,4000,0,40,0,1000,epsilon-dca
constant-primary,synthetic,constant,deterministic-adversarial-v1,4,1,identity-a0-b0,proportional-10bps,dca,3996.003996003996003996003996003996003996003996003996003996,0.000000000000000000000000000000000000000000000000000000001,39.96003996003996003996003996003996003996003996003996003996,3.996003996003996003996003996003996003996003996003996003996,,outside-current-safety-theorem
constant-primary,synthetic,constant,deterministic-adversarial-v1,4,1,identity-a0-b0,proportional-10bps,neutral_guarded,3996.003996003996003996003996003996003996003996003996003996,0.000000000000000000000000000000000000000000000000000000001,39.96003996003996003996003996003996003996003996003996003996,3.996003996003996003996003996003996003996003996003996003996,1000,outside-current-safety-theorem
constant-primary,synthetic,constant,deterministic-adversarial-v1,4,1,identity-a0-b0,proportional-10bps,corrected_guarded,3996.003996003996003996003996003996003996003996003996003996,0.000000000000000000000000000000000000000000000000000000001,39.96003996003996003996003996003996003996003996003996003996,3.996003996003996003996003996003996003996003996003996003996,1000,outside-current-safety-theorem
constant-primary,synthetic,constant,deterministic-adversarial-v1,4,1,identity-a0-b0,fixed-1-usd,dca,3996,0,39.96,4,,outside-current-safety-theorem
constant-primary,synthetic,constant,deterministic-adversarial-v1,4,1,identity-a0-b0,fixed-1-usd,neutral_guarded,3996,0,39.96,4,1000,outside-current-safety-theorem
constant-primary,synthetic,constant,deterministic-adversarial-v1,4,1,identity-a0-b0,fixed-1-usd,corrected_guarded,3996,0,39.96,4,1000,outside-current-safety-theorem
constant-primary,synthetic,constant,deterministic-adversarial-v1,4,0.9,identity-a0-b0,frictionless,dca,4000,0,40,0,,epsilon-dca
constant-primary,synthetic,constant,deterministic-adversarial-v1,4,0.9,identity-a0-b0,frictionless,neutral_guarded,4000,200,38,0,825,epsilon-dca
constant-primary,synthetic,constant,deterministic-adversarial-v1,4,0.9,identity-a0-b0,frictionless,corrected_guarded,4000,200,38,0,825,epsilon-dca
constant-primary,synthetic,constant,deterministic-adversarial-v1,4,0.9,identity-a0-b0,proportional-10bps,dca,3996.003996003996003996003996003996003996003996003996003996,0.000000000000000000000000000000000000000000000000000000001,39.96003996003996003996003996003996003996003996003996003996,3.996003996003996003996003996003996003996003996003996003996,,outside-current-safety-theorem
constant-primary,synthetic,constant,deterministic-adversarial-v1,4,0.9,identity-a0-b0,proportional-10bps,neutral_guarded,3996.20372132864012860890357770349657831557798475245415167384,199.925049968768737512481281200074893893562737206605825499425,37.9627867135987139109642229650342168442201524754584832617441,3.79627867135987139109642229650342168442201524754584832617441,825.056209403106262490634362518721915568824903246725181034625,outside-current-safety-theorem
