analysis_tier,dataset_id,horizon_months,coverage,corrected_mean_config,cost_scenario,comparison,theorem_scope,attempted_count,preparation_excluded_count,runner_attempted_count,result_excluded_count,sample_count,excluded_count,exclusions_by_reason,mean_terminal_wealth_gap,mean_wealth_ratio,win_count,tie_count,loss_count,median_wealth_ratio,minimum_wealth_ratio,maximum_wealth_ratio,wealth_ratio_quantile_0.05,wealth_ratio_quantile_0.10,wealth_ratio_quantile_0.25,wealth_ratio_quantile_0.75,wealth_ratio_quantile_0.90,wealth_ratio_quantile_0.95,mean_relative_terminal_wealth_gap,median_relative_terminal_wealth_gap,minimum_relative_terminal_wealth_gap,maximum_relative_terminal_wealth_gap,downside_quantile_0.05,downside_quantile_0.10,downside_quantile_0.25,worst_observed_relative_shortfall,mean_terminal_cash_gap,mean_terminal_unit_gap,mean_cash_contribution,mean_unit_contribution,mean_identity_residual,mean_left_cash_drag,mean_right_cash_drag,mean_left_asset_exposure,mean_right_asset_exposure,mean_left_guardrail_activation_frequency,mean_right_guardrail_activation_frequency,mean_left_guardrail_floor,mean_right_guardrail_floor,mean_left_total_fees,mean_right_total_fees,mean_left_purchase_count,mean_right_purchase_count,schedule_id,design_tier,uncertainty_status
robustness,btc-usd-daily,6,0.25,identity-a0-b0,fixed-1-usd,corrected_guarded_vs_dca,outside-current-safety-theorem,42,0,42,0,42,0,{},-330.375942774111741224816918488116532130038600180477658630555,0.956066438189077302865121856038491300062744632649094391562012,17,0,25,0.940262476587999271187443558016788813741482655637704004511325,0.678096398329298723951736461990643630300913900965031875746886,1.48786500177719807137768716571220200929087810260989850570903,0.725901254777783543463923987363677593216798694789013173320974,0.778406099172133609101545075065788436442599316680128945850469,0.884280374458720233451734332713143640541152492962494349220898,1.03054599447600374261982039592646158238107685444775814456375,1.1052008636538509724162138182906653477634163916401492650282,1.1536771707533687223541886707665429777338726275310420808064,-0.0439335618109226971348781439615086999372553673509056084379852,-0.0597375234120007288125564419832111862585173443622959954886745,-0.321903601670701276048263538009356369699086099034968124253114,0.487865001777198071377687165712202009290878102609898505709028,-0.274098745222216456536076012636322406783201305210986826679026,-0.221593900827866390898454924934211563557400683319871054149531,-0.115719625541279766548265667286856359458847507037505650779102,0.321903601670701276048263538009356369699086099034968124253114,730.864404694924937390830785250712198873388629422801620218562,-0.446051451003527519193785794731917439124015389631107283444826,730.864404694924937390830785250712198873388629422801620218562,-1061.24034746903667861564770373882873100342722960327927884912,-0.000000000000000000000000000000000000000000000000000000000380952380952380952380952380952380952380952380952380952380952,0.365432202347462468695415392625356099436694314711400810109283,0,0.688972693909989024836753615886123177381129822380527744462364,1,0.547619047619047619047619047619047619047619047619047619047619,0,127.687252669423619633478421825657700848034568177622776156906,,2,2,2,2,robustness-quarterly-horizons,robustness,not-run-robustness
robustness,btc-usd-daily,6,0.25,identity-a0-b0,fixed-1-usd,corrected_guarded_vs_neutral_guarded,outside-current-safety-theorem,42,0,42,0,42,0,{},-15.8045866107889668128663264140755526412542833955543921223824,1.00029039523728469901186279819262740969707375484525909839275,25,0,17,1.00057038703526805941069028499474593841791857504920685503282,0.934145694750048471891949157667337001272402507747851400604855,1.08779884439149860922536783818344514458057952996137953812921,0.953158534646498582106143097893185785986149756699124715379533,0.982244205377882770230995172937104682432645644243587402459396,0.994646788069535212725253746923512199219702498344001039157895,1.00666701209747071494407216621183456644423015843327668898908,1.0126120888901166917676625673443212092759655381797825897523,1.03593596967619051477935656255965796169034771483310088854662,0.000290395237284699011862798192627409697073754845259098392746431,0.000570387035268059410690284994745938417918575049206855032811435,-0.0658543052499515281080508423326629987275974922521485993951446,0.087798844391498609225367838183445144580579529961379538129211,-0.0468414653535014178938569021068142140138502433008752846204672,-0.0177557946221172297690048270628953175673543557564125975406041,-0.0053532119304647872747462530764878007802975016559989608421055,0.0658543052499515281080508423326629987275974922521485993951446,46.0516573643485570243092070763698997214231976004243963754721,-0.0130983640380362871102939173544509603025696482615965664182053,46.0516573643485570243092070763698997214231976004243963754721,-61.8562439751375238371755334904454523626774809959787884978548,-0.00000000000000000000000000000000000000000000000000000000018380952380952380952380952380952380952380952380952380952381,0.365432202347462468695415392625356099436694314711400810109283,0.342406373665288190183260789087171149575982715911188611921548,0.688972693909989024836753615886123177381129822380527744462364,0.699879418579476458679272099870505398649247816307800122856936,0.547619047619047619047619047619047619047619047619047619047619,0.547619047619047619047619047619047619047619047619047619047619,127.687252669423619633478421825657700848034568177622776156906,127.687252669423619633478421825657700848034568177622776156906,2,2,2,2,robustness-quarterly-horizons,robustness,not-run-robustness
robustness,btc-usd-daily,6,0.25,identity-a0-b0,fixed-1-usd,neutral_guarded_vs_dca,outside-current-safety-theorem,42,0,42,0,42,0,{},-314.571356163322774411950592074040979488784316784923266508174,0.954663686441474997548870531320746382969720111172706533562864,15,0,27,0.93688630062919665985138180181737059666225692687459609766116,0.72590004122508807205887121113373878758767353918410774074659,1.49518588207446349631299767057930840135670390961482643248611,0.761234518102513833607284638182078891933832718754192068339366,0.78623527211542934063719886250678160048736670358242479183357,0.879878272237204730729255604897620673854295077303362946893623,1.02625917111344513343069015984434399022850136351797752500123,1.10163267756304659885914746966527650594797075908947575503518,1.15603475944310436977013086933118661939350942563620961631807,-0.0453363135585250024511294686792536170302798888272934664371348,-0.0631136993708033401486181981826294033377430731254039023388405,-0.27409995877491192794112878886626121241232646081589225925341,0.495185882074463496312997670579308401356703909614826432486108,-0.238765481897486166392715361817921108066167281245807931660634,-0.21376472788457065936280113749321839951263329641757520816643,-0.120121727762795269270744395102379326145704922696637053106377,0.27409995877491192794112878886626121241232646081589225925341,684.812747330576380366521578174342299151965431822377223843095,-0.432953086965491232083491877377466478821445741369510717026614,684.812747330576380366521578174342299151965431822377223843095,-999.384103493899154778472170248383278640749748607300490351274,0.000000000000000000000000000000000000000000000000000000000214285714285714285714285714285714285714285714285714285714286,0.342406373665288190183260789087171149575982715911188611921548,0,0.699879418579476458679272099870505398649247816307800122856936,1,0.547619047619047619047619047619047619047619047619047619047619,0,127.687252669423619633478421825657700848034568177622776156906,,2,2,2,2,robustness-quarterly-horizons,robustness,not-run-robustness
robustness,btc-usd-daily,6,0.25,identity-a0-b0,frictionless,corrected_guarded_vs_dca,epsilon-dca,42,0,42,0,42,0,{},-330.377653909487996320545024505405338851476145898268508184745,0.956109619341187084116288530972611871584173784021349696413712,17,0,25,0.940322214111411271916256114458772024927741172982066300506815,0.678418301930969425227784725528652986670612987064066843871138,1.48737713677542087330630947854648980728158722450728860720332,0.726175353523005759920460063376313915623581896094224160147655,0.778627693072961475492443529990722648006156717363448816904622,0.88439609408426151321828259838043049690061134046953185487168,1.03051544848152773887720057553053512079869577759331038641918,1.10509566279019712144379760447237468241565297524850911576317,1.153523657379605756888458636859633523906573735766854022447,-0.0438903806588129158837114690273881284158262159786503035862852,-0.059677785888588728083743885541227975072258827017933699493186,-0.321581698069030574772215274471347013329387012935933156128862,0.487377136775420873306309478546489807281587224507288607203324,-0.273824646476994240079539936623686084376418103905775839852345,-0.221372306927038524507556470009277351993843282636551183095378,-0.11560390591573848678171740161956950309938865953046814512832,0.321581698069030574772215274471347013329387012935933156128862,730.877090032302145458723251033092961819050301335490077673921,-0.446053108713491739606310637810815379249963959721194668251848,730.877090032302145458723251033092961819050301335490077673921,-1061.25474394179014177926827553849830067052644723375858585867,-0.00000000000000000000000000000000000000000000000000000000052380952380952380952380952380952380952380952380952380952381,0.365438545016151072729361625516546480909525150667745038836962,0,0.689287771076641854478151934020430395257784449499591666327014,1,0.547619047619047619047619047619047619047619047619047619047619,0,127.66878070702815212821103437058935575001078021424173581902,,0,0,2,2,robustness-quarterly-horizons,robustness,not-run-robustness
robustness,btc-usd-daily,6,0.25,identity-a0-b0,frictionless,corrected_guarded_vs_neutral_guarded,epsilon-dca,42,0,42,0,42,0,{},-15.803965318773891901810911620018565142951400848036955458526,1.00029199241203472319095853138360860410253808758116728167589,25,0,17,1.00056980685537117546031452573878663325158878875130113254889,0.934236381407029386899149546703035585322724055697465152475293,1.0877087698420853793317742215218958147428314892168179148332,0.9532199605197556101009109263276777532430062073925618324719,0.982267250914322966917205384946839724088207336737200245611745,0.994652833507425184806887857997403660752542499327263515013482,1.00665985616739237935754500148936839698684734404886914650422,1.01259764841469187080824122326307402251838304814014375004816,1.03591144961235814844730058798640422087914332095887460233396,0.000291992412034723190958531383608604102538087581167281675883507,0.00056980685537117546031452573878663325158878875130113254889053,-0.0657636185929706131008504532969644146772759443025348475247065,0.0877087698420853793317742215218958147428314892168179148331981,-0.0467800394802443898990890736723222467569937926074381675280998,-0.017732749085677033082794615053160275911792663262799754388255,-0.00534716649257481519311214200259633924745750067273648498651798,0.0657636185929706131008504532969644146772759443025348475247065,46.0458707393302975869342854036823175690610815497318134929426,-0.0130976690356964447353756579052751636437429174426178569847996,46.0458707393302975869342854036823175690610815497318134929426,-61.8498360581041894887451970237008827120124823977687689514683,-0.0000000000000000000000000000000000000000000000000000000000394761904761904761904761904761904761904761904761904761904762,0.365438545016151072729361625516546480909525150667745038836962,0.34241560964648592393589448281470532212499460989287913209049,0.689287771076641854478151934020430395257784449499591666327014,0.700176473825213796128210903820095751128286253605105718691612,0.547619047619047619047619047619047619047619047619047619047619,0.547619047619047619047619047619047619047619047619047619047619,127.66878070702815212821103437058935575001078021424173581902,127.66878070702815212821103437058935575001078021424173581902,0,0,2,2,robustness-quarterly-horizons,robustness,not-run-robustness
robustness,btc-usd-daily,6,0.25,identity-a0-b0,frictionless,neutral_guarded_vs_dca,epsilon-dca,42,0,42,0,42,0,{},-314.573688590714104418734112885386773708524745050231552726226,0.95470800423247123294914615480431095594225309650186634053364,15,0,27,0.9369494143285674631915304200155532260655946699477215015635,0.726174141183862983986812339922605048800085865644923633005844,1.49469069619238903281668467290872909295534720570521160605361,0.761473283584411319773677353543896813041898886035437876271026,0.786449036843313911296561663644274818886879336878842367041738,0.879998393964967525998526349292723053180440782226059583946728,1.02623291194233168829725946968449964623827286215445954747623,1.10152999947328752563475438691456796577155347022537203271232,1.15588725003128686257358830953581462772919600280276706447382,-0.0452919957675287670508538451956890440577469034981336594663645,-0.0630505856714325368084695799844467739344053300522784984365015,-0.273825858816137016013187660077394951199914134355076366994156,0.494690696192389032816684672908729092955347205705211606053615,-0.238526716415588680226322646456103186958101113964562123728974,-0.213550963156686088703438336355725181113120663121157632958262,-0.120001606035032474001473650707276946819559217773940416053272,0.273825858816137016013187660077394951199914134355076366994156,684.831219292971847871788965629410644249989219785758264180979,-0.432955439677795294870934979905540215606221042278576811267043,684.831219292971847871788965629410644249989219785758264180979,-999.404907883685952290523078514797417958513964835989816907207,-0.000000000000000000000000000000000000000000000000000000000547619047619047619047619047619047619047619047619047619047619,0.34241560964648592393589448281470532212499460989287913209049,0,0.700176473825213796128210903820095751128286253605105718691612,1,0.547619047619047619047619047619047619047619047619047619047619,0,127.66878070702815212821103437058935575001078021424173581902,,0,0,2,2,robustness-quarterly-horizons,robustness,not-run-robustness
robustness,btc-usd-daily,6,0.25,identity-a0-b0,proportional-10bps,corrected_guarded_vs_dca,outside-current-safety-theorem,42,0,42,0,42,0,{},-329.316611830981916111292584318651782938640590847305412446502,0.956416993170066856176067644414027282726931231330917329631538,17,0,25,0.940668908242668192721215007080876172410442578829609717774745,0.678519952087289946301704564247727053860279826773513056824375,1.48820257944108236336055456148557773247211251035746721604243,0.726335282666469026652336912074879281999234320944052983044603,0.778764293010362880517290011610081528922080990464037372754023,0.884637054743136313879398499681926594739935693902064535551474,1.03086208594815497096620899192270218865762999042561406525195,1.10561805561801854081875851280047278749322131670047891786184,1.1537912317493658880519210115268272478616869578418384904473,-0.0435830068299331438239323555859727172730687686690826703684638,-0.0593310917573318072787849929191238275895574211703902822252565,-0.321480047912710053698295435752272946139720173226486943175625,0.488202579441082363360554561485577732472112510357467216042431,-0.273664717333530973347663087925120718000765679055947016955397,-0.221235706989637119482709988389918471077919009535962627245977,-0.115362945256863686120601500318073405260064306097935464448526,0.321480047912710053698295435752272946139720173226486943175625,730.870753699945897672563178214720952355682832847633705318598,-0.445606674012524060494604822659036492544657778421251246771793,730.870753699945897672563178214720952355682832847633705318598,-1060.18736553092781378385576253337273529432342369493911776511,0.000000000000000000000000000000000000000000000000000000000857142857142857142857142857142857142857142857142857142857143,0.3654353768499729488362815891073604761778414164238168526593,0.0000000000000000000000000000000000000000000000000000000000005,0.68908552661829741595061234421127713140695681224774230645611,1,0.547619047619047619047619047619047619047619047619047619047619,0,127.678007461471442590382556575918199455317367608537959764018,,1.26786138491513896336407274903624280483947768946290339129011,1.998001998001998001998001998001998001998001998001998001998,2,2,robustness-quarterly-horizons,robustness,not-run-robustness
robustness,btc-usd-daily,6,0.25,identity-a0-b0,proportional-10bps,corrected_guarded_vs_neutral_guarded,outside-current-safety-theorem,42,0,42,0,42,0,{},-15.7424844088754646867989365760529656819533935814306401981288,1.00030284959941249626246469250153840346019183984350599397632,25,0,17,1.00060074618973507168838780983576326053393758448128338594521,0.934274821679760912665354668066080934580340711903561482205736,1.0878544411450840608970044714717148412067171799587660834834,0.953285698427901229159639295180424242370590761998368654019998,0.982280049036974946723955631397172242908302702616909077851065,0.994722780340170480119783082639369119022790772316395067583073,1.00670608065748634109461849813472890666111913613495790596608,1.01257694861525282545597329678605921835900734685760833937555,1.03582041025785435258174424373677890544104551276310282093106,0.000302849599412496262464692501538403460191839843505993976325529,0.00060074618973507168838780983576326053393758448128338594521221,-0.0657251783202390873346453319339190654196592880964385177942636,0.0878544411450840608970044714717148412067171799587660834833955,-0.0467143015720987708403607048195757576294092380016313459800013,-0.0177199509630250532760443686028277570916972973830909221489354,-0.00527721965982951988021691736063088097720922768360493241692718,0.0657251783202390873346453319339190654196592880964385177942636,46.0487611614173402629457347906391518110002004561716650826179,-0.0130849312584538961214311794975936522386704462066902423834786,46.0487611614173402629457347906391518110002004561716650826179,-61.7912455702928049497446713666921174929535940376023052807467,-0.000000000000000000000000000000000000000000000000000000000109452380952380952380952380952380952380952380952380952380952,0.3654353768499729488362815891073604761778414164238168526593,0.34241099626926427870480872171204090027234131619573102011799,0.68908552661829741595061234421127713140695681224774230645611,0.699980050463674916128397863945380268516961783477132146340731,0.547619047619047619047619047619047619047619047619047619047619,0.547619047619047619047619047619047619047619047619047619047619,127.678007461471442590382556575918199455317367608537959764018,127.678007461471442590382556575918199455317367608537959764018,1.26786138491513896336407274903624280483947768946290339129011,1.31386414331815328930108147510081738207324412348505290685717,2,2,robustness-quarterly-horizons,robustness,not-run-robustness
robustness,btc-usd-daily,6,0.25,identity-a0-b0,proportional-10bps,neutral_guarded_vs_dca,outside-current-safety-theorem,42,0,42,0,42,0,{},-313.574127422106451424493647742598817256687197265874772248383,0.955007219359390644823970895298222794311601846648541851176924,15,0,27,0.9372365845989635493187716571359435069481093629923419766778,0.726253064240089908756997952339801057999036130179431705418678,1.49552866958816582777028802448386669081971749538350932865228,0.761590052454011044005534559581416160438817925356604846818893,0.786580465411910728641167004380564454663582450624501541583736,0.88022088319195588335813648554775454751988951300530936025156,1.02660027454327266390896139433295869071289324185436936842959,1.10197065663155707712271203464952214856728475413052668147693,1.15635075526118634425310725769621468130541254240124195256988,-0.0449927806406093551760291047017772056883981533514581488230748,-0.062763415401036450681228342864056493051890637007658023322202,-0.273746935759910091243002047660198942000963869820568294581322,0.495528669588165827770288024483866690819717495383509328652278,-0.238409947545988955994465440418583839561182074643395153181107,-0.213419534588089271358832995619435545336417549375498458416264,-0.11977911680804411664186351445224545248011048699469063974844,0.273746935759910091243002047660198942000963869820568294581322,684.821992538528557409617443424081800544682632391462040235983,-0.432521742754070164373173643161442840305987332214561004388314,684.821992538528557409617443424081800544682632391462040235983,-998.39611996063500883411109116668061780136982965733681248436,0.000000000000000000000000000000000000000000000000000000000714285714285714285714285714285714285714285714285714285714286,0.34241099626926427870480872171204090027234131619573102011799,0.0000000000000000000000000000000000000000000000000000000000005,0.699980050463674916128397863945380268516961783477132146340731,1,0.547619047619047619047619047619047619047619047619047619047619,0,127.678007461471442590382556575918199455317367608537959764018,,1.31386414331815328930108147510081738207324412348505290685717,1.998001998001998001998001998001998001998001998001998001998,2,2,robustness-quarterly-horizons,robustness,not-run-robustness
robustness,btc-usd-daily,6,0.5,identity-a0-b0,fixed-1-usd,corrected_guarded_vs_dca,outside-current-safety-theorem,42,0,42,0,42,0,{},-243.36444214029149220236492786186235510044404190853200646151,0.969965244523764990829651921526334071807539665991468829592152,17,0,25,0.962289540953265043017261695702875175691327915345812556374165,0.741136612763785786897531337150141688778376647629331710021621,1.35171682430369312804547286068123802181848772369666772937038,0.786132505852979512074218444647727749787381700130392010858237,0.836329932552950200462806109257169982451864194372815331011088,0.916442876672119841919180280753680516876330347513802815503664,1.02064526272375794578035359531225482928093912014628872474862,1.10100271371196435502848206682495851270561462829308787975679,1.12569831207396386616921377080627558486195001872982796075153,-0.0300347554762350091703480784736659281924603340085311704078474,-0.0377104590467349569827383042971248243086720846541874436258354,-0.258863387236214213102468662849858311221623352370668289978379,0.351716824303693128045472860681238021818487723696667729370376,-0.213867494147020487925781555352272250212618299869607989141763,-0.163670067447049799537193890742830017548135805627184668988912,-0.0835571233278801580808197192463194831236696524861971844963364,0.258863387236214213102468662849858311221623352370668289978379,570.936279588079194404749324196927997077006513937941358463612,-0.335682225724901340102101409842137991636045247085256125646207,570.936279588079194404749324196927997077006513937941358463612,-814.300721728370686607114252058790352177450555846473364925119,-0.000000000000000000000000000000000000000000000000000000000785714285714285714285714285714285714285714285714285714285714,0.285468139794039597202374662098463998538503256968970679231807,0,0.763536611659446757577811384507878055262387118919660787499819,1,0.940476190476190476190476190476190476190476190476190476190476,0,349.953084510523796566963007749573072496377367698227925487057,,2,2,2,2,robustness-quarterly-horizons,robustness,not-run-robustness
