input_kind,family,dataset_id,horizon_months,coverage,corrected_mean_config,cost_scenario,comparison,theorem_scope,attempted_count,sample_count,excluded_count,mean_terminal_wealth_gap,mean_wealth_ratio,win_count,tie_count,loss_count,uncertainty_status,mean_relative_terminal_wealth_gap,median_relative_terminal_wealth_gap,minimum_relative_terminal_wealth_gap,maximum_relative_terminal_wealth_gap,downside_quantile_0.05,downside_quantile_0.10,downside_quantile_0.25,mean_terminal_cash_gap,mean_terminal_unit_gap,mean_left_cash_drag,mean_right_cash_drag,mean_left_asset_exposure,mean_right_asset_exposure,mean_left_guardrail_activation_frequency,mean_right_guardrail_activation_frequency,mean_left_guardrail_floor,mean_right_guardrail_floor,mean_left_total_fees,mean_right_total_fees,mean_left_purchase_count,mean_right_purchase_count
synthetic,non-confirmatory-mechanism-path,canonical-synthetic,5,0.5,identity-a0-b0,fixed-1-usd,corrected_guarded_vs_dca,outside-current-safety-theorem,1,1,0,125.47741449794211630140981891398070912712672691712382522081,1.02181967787573650503846823633274810514727619534798865316814,1,0,0,not-estimated-by-canonical-run,0.0218196778757365050384682363327481051472761953479886531681418,0.0218196778757365050384682363327481051472761953479886531681418,0.0218196778757365050384682363327481051472761953479886531681418,0.0218196778757365050384682363327481051472761953479886531681418,0.0218196778757365050384682363327481051472761953479886531681418,0.0218196778757365050384682363327481051472761953479886531681418,0.0218196778757365050384682363327481051472761953479886531681418,828.66029926716302344173848853000334254575420993569372081767,-5.8598573730768408928360722468001886118218956918214157966405,0.165732059853432604688347697706000668509150841987138744163534,0,0.858978592800316900274742695126175118184693213797311082390225,1,0.6,0,177.235333333333333333333333333333333333333333333333333333333,,5,5,5,5
synthetic,non-confirmatory-mechanism-path,canonical-synthetic,5,0.5,identity-a0-b0,fixed-1-usd,corrected_guarded_vs_neutral_guarded,outside-current-safety-theorem,1,1,0,186.72626599366861202790554540970720485362245341285032094729,1.03281999895753406890170239269458665232420355727182219330315,1,0,0,not-estimated-by-canonical-run,0.0328199989575340689017023926945866523242035572718221933031538,0.0328199989575340689017023926945866523242035572718221933031538,0.0328199989575340689017023926945866523242035572718221933031538,0.0328199989575340689017023926945866523242035572718221933031538,0.0328199989575340689017023926945866523242035572718221933031538,0.0328199989575340689017023926945866523242035572718221933031538,0.0328199989575340689017023926945866523242035572718221933031538,-91.546992399503643224928178136663324120912456730972945849,2.3189438199431021271069476962197544081211242511985272233024,0.165732059853432604688347697706000668509150841987138744163534,0.184041458333333333333333333333333333333333333333333333333334,0.858978592800316900274742695126175118184693213797311082390225,0.83825948538895277412083863729629058263724318542446684864729,0.6,0.6,177.235333333333333333333333333333333333333333333333333333333,165.243333333333333333333333333333333333333333333333333333333,5,5,5,5
synthetic,non-confirmatory-mechanism-path,canonical-synthetic,5,0.5,identity-a0-b0,fixed-1-usd,neutral_guarded_vs_dca,outside-current-safety-theorem,1,1,0,-61.24885149572649572649572649572649572649572649572649572648,0.989349236950387655658628190179786319355732867239919949645268,0,0,1,not-estimated-by-canonical-run,-0.0106507630496123443413718098202136806442671327600800503547321,-0.0106507630496123443413718098202136806442671327600800503547321,-0.0106507630496123443413718098202136806442671327600800503547321,-0.0106507630496123443413718098202136806442671327600800503547321,-0.0106507630496123443413718098202136806442671327600800503547321,-0.0106507630496123443413718098202136806442671327600800503547321,-0.0106507630496123443413718098202136806442671327600800503547321,920.20729166666666666666666666666666666666666666666666666667,-8.1788011930199430199430199430199430199430199430199430199429,0.184041458333333333333333333333333333333333333333333333333334,0,0.83825948538895277412083863729629058263724318542446684864729,1,0.6,0,165.243333333333333333333333333333333333333333333333333333333,,5,5,5,5
synthetic,non-confirmatory-mechanism-path,canonical-synthetic,5,0.5,identity-a0-b0,frictionless,corrected_guarded_vs_dca,epsilon-dca,1,1,0,125.64243031073005562450402748518760508704259356619295947711,1.02182652464195310543142831657871855945832811202263485710293,1,0,0,not-estimated-by-canonical-run,0.0218265246419531054314283165787185594583281120226348571029278,0.0218265246419531054314283165787185594583281120226348571029278,0.0218265246419531054314283165787185594583281120226348571029278,0.0218265246419531054314283165787185594583281120226348571029278,0.0218265246419531054314283165787185594583281120226348571029278,0.0218265246419531054314283165787185594583281120226348571029278,0.0218265246419531054314283165787185594583281120226348571029278,828.74531648808934386359040948012485526714960490378075909342,-5.8591907181446607353257198499578104181675584278132316634693,0.165749063297617868772718081896024971053429920980756151818684,0,0.859106104513646861936202357967412102427266920244305041057772,1,0.6,0,177.000000000000000000000000000000000000000000000000000000001,,0,0,5,5
synthetic,non-confirmatory-mechanism-path,canonical-synthetic,5,0.5,identity-a0-b0,frictionless,corrected_guarded_vs_neutral_guarded,epsilon-dca,1,1,0,186.82031492611467100911941210057222047165797818157757486173,1.03280293107114040638176908349475763876226729745705103844835,1,0,0,not-estimated-by-canonical-run,0.0328029310711404063817690834947576387622672974570510384483534,0.0328029310711404063817690834947576387622672974570510384483534,0.0328029310711404063817690834947576387622672974570510384483534,0.0328029310711404063817690834947576387622672974570510384483534,0.0328029310711404063817690834947576387622672974570510384483534,0.0328029310711404063817690834947576387622672974570510384483534,0.0328029310711404063817690834947576387622672974570510384483534,-91.56718351191065613640959051987514473285039509621924090658,2.3198958203168777262127416885037280433709031106483067980692,0.165749063297617868772718081896024971053429920980756151818684,0.1840625,0.859106104513646861936202357967412102427266920244305041057772,0.83840650566642983264510773603089628780257891145455952389327,0.6,0.6,177.000000000000000000000000000000000000000000000000000000001,165.000000000000000000000000000000000000000000000000000000001,0,0,5,5
synthetic,non-confirmatory-mechanism-path,canonical-synthetic,5,0.5,identity-a0-b0,frictionless,neutral_guarded_vs_dca,epsilon-dca,1,1,0,-61.17788461538461538461538461538461538461538461538461538462,0.989372216035634743875278396436525612472160356347438752783964,0,0,1,not-estimated-by-canonical-run,-0.0106277839643652561247216035634743875278396436525612472160364,-0.0106277839643652561247216035634743875278396436525612472160364,-0.0106277839643652561247216035634743875278396436525612472160364,-0.0106277839643652561247216035634743875278396436525612472160364,-0.0106277839643652561247216035634743875278396436525612472160364,-0.0106277839643652561247216035634743875278396436525612472160364,-0.0106277839643652561247216035634743875278396436525612472160364,920.3125,-8.1790865384615384615384615384615384615384615384615384615385,0.1840625,0,0.83840650566642983264510773603089628780257891145455952389327,1,0.6,0,165.000000000000000000000000000000000000000000000000000000001,,0,0,5,5
synthetic,non-confirmatory-mechanism-path,canonical-synthetic,5,0.5,identity-a0-b0,proportional-10bps,corrected_guarded_vs_dca,outside-current-safety-theorem,1,1,0,126.24653871489671389982101637362422690201829992564680010845,1.02195340144717529093066865326596844629856522231980991282599,1,0,0,not-estimated-by-canonical-run,0.0219534014471752909306686532659684462985652223198099128259857,0.0219534014471752909306686532659684462985652223198099128259857,0.0219534014471752909306686532659684462985652223198099128259857,0.0219534014471752909306686532659684462985652223198099128259857,0.0219534014471752909306686532659684462985652223198099128259857,0.0219534014471752909306686532659684462985652223198099128259857,0.0219534014471752909306686532659684462985652223198099128259857,828.711880950515643342665395788756574005220663738645136146517,-5.8538778519634910786903698284594362258600196984416528003173,0.165742376190103128668533079157751314801044132747729027229304,0.0000000000000000000000000000000000000000000000000000000000002,0.858988409574791749738663270111122339203124182319334220148157,1,0.6,0,177.098925050973003020955068907116859164811212763260715308667,,4.16712099805143292373360100320803539060417516110025460924424,4.995004995004995004995004995004995004995004995004995004995,5,5
synthetic,non-confirmatory-mechanism-path,canonical-synthetic,5,0.5,identity-a0-b0,proportional-10bps,corrected_guarded_vs_neutral_guarded,outside-current-safety-theorem,1,1,0,186.48692202196660995131872910106242751455092026449303478326,1.03277208849206303754456299208030225521322282335588983541617,1,0,0,not-estimated-by-canonical-run,0.0327720884920630375445629920803022552132228233558898354161737,0.0327720884920630375445629920803022552132228233558898354161737,0.0327720884920630375445629920803022552132228233558898354161737,0.0327720884920630375445629920803022552132228233558898354161737,0.0327720884920630375445629920803022552132228233558898354161737,0.0327720884920630375445629920803022552132228233558898354161737,0.0327720884920630375445629920803022552132228233558898354161737,-91.552217463557795705798627700241939968318284825278452752097,2.3169928290460367138093113066775363956905767090814290627946,0.165742376190103128668533079157751314801044132747729027229304,0.184052819682814687809692804697799702794707789712784717779723,0.858988409574791749738663270111122339203124182319334220148157,0.838278329963845154002614471990101731249636996342303989223401,0.6,0.6,177.098925050973003020955068907116859164811212763260715308667,165.114905074945034984995024955064915104875144835184795224755,4.16712099805143292373360100320803539060417516110025460924424,4.07566024134458197897256341309790358244401703440167473636502,5,5
synthetic,non-confirmatory-mechanism-path,canonical-synthetic,5,0.5,identity-a0-b0,proportional-10bps,neutral_guarded_vs_dca,outside-current-safety-theorem,1,1,0,-60.24038330706989605149771272743820061253262033884623467481,0.989524613256460126182831094845583697489030463405754039396571,0,0,1,not-estimated-by-canonical-run,-0.0104753867435398738171689051544163025109695365942459606034295,-0.0104753867435398738171689051544163025109695365942459606034295,-0.0104753867435398738171689051544163025109695365942459606034295,-0.0104753867435398738171689051544163025109695365942459606034295,-0.0104753867435398738171689051544163025109695365942459606034295,-0.0104753867435398738171689051544163025109695365942459606034295,-0.0104753867435398738171689051544163025109695365942459606034295,920.264098414073439048464023488998513973538948563923588898614,-8.1708706810095277924996811351369726215505964075230818631119,0.184052819682814687809692804697799702794707789712784717779723,0.0000000000000000000000000000000000000000000000000000000000002,0.838278329963845154002614471990101731249636996342303989223401,1,0.6,0,165.114905074945034984995024955064915104875144835184795224755,,4.07566024134458197897256341309790358244401703440167473636502,4.995004995004995004995004995004995004995004995004995004995,5,5
synthetic,non-confirmatory-mechanism-path,canonical-synthetic,5,0.75,identity-a0-b0,fixed-1-usd,corrected_guarded_vs_dca,outside-current-safety-theorem,1,1,0,107.25410132361339959346268718678868498552604283416058715097,1.01865076636378437495020653080824592393924220733219751109188,1,0,0,not-estimated-by-canonical-run,0.018650766363784374950206530808245923939242207332197511091884,0.018650766363784374950206530808245923939242207332197511091884,0.018650766363784374950206530808245923939242207332197511091884,0.018650766363784374950206530808245923939242207332197511091884,0.018650766363784374950206530808245923939242207332197511091884,0.018650766363784374950206530808245923939242207332197511091884,0.018650766363784374950206530808245923939242207332197511091884,581.86556191616453954405472062093692674522527411400669727935,-3.9550955049379261662549336119512353479974935939987175844032,0.11637311238323290790881094412418738534904505482280133945587,0,0.900670074174393898594294418358284810055487174957182865111875,1,1,0,473.509369125721279540124454559672485030678475729672664790494,,5,5,5,5
synthetic,non-confirmatory-mechanism-path,canonical-synthetic,5,0.75,identity-a0-b0,fixed-1-usd,corrected_guarded_vs_neutral_guarded,outside-current-safety-theorem,1,1,0,125.26030124348519446525755898166047985732091462903238202276,1.02185034018718630576838857195112677580098997947221475530224,1,0,0,not-estimated-by-canonical-run,0.0218503401871863057683885719511267758009899794722147553022375,0.0218503401871863057683885719511267758009899794722147553022375,0.0218503401871863057683885719511267758009899794722147553022375,0.0218503401871863057683885719511267758009899794722147553022375,0.0218503401871863057683885719511267758009899794722147553022375,0.0218503401871863057683885719511267758009899794722147553022375,0.0218503401871863057683885719511267758009899794722147553022375,-26.701835920373921994406817840601534793236264347531764259115,1.2663511430321593038305364735188501220879764914713678856823,0.11637311238323290790881094412418738534904505482280133945587,0.121713479567307692307692307692307692307692307692307692307693,0.900670074174393898594294418358284810055487174957182865111875,0.893841827478035762190860884645610803803558230016052432030977,1,1,473.509369125721279540124454559672485030678475729672664790494,492.959421073717948717948717948717948717948717948717948717948,5,5,5,5
synthetic,non-confirmatory-mechanism-path,canonical-synthetic,5,0.75,identity-a0-b0,fixed-1-usd,neutral_guarded_vs_dca,outside-current-safety-theorem,1,1,0,-18.00619991987179487179487179487179487179487179487179487179,0.996868843021752264513957164291240015070750037342464959391464,0,0,1,not-estimated-by-canonical-run,-0.00313115697824773548604283570875998492924996265753504060853642,-0.00313115697824773548604283570875998492924996265753504060853642,-0.00313115697824773548604283570875998492924996265753504060853642,-0.00313115697824773548604283570875998492924996265753504060853642,-0.00313115697824773548604283570875998492924996265753504060853642,-0.00313115697824773548604283570875998492924996265753504060853642,-0.00313115697824773548604283570875998492924996265753504060853642,608.567397836538461538461538461538461538461538461538461538465,-5.2214466479700854700854700854700854700854700854700854700855,0.121713479567307692307692307692307692307692307692307692307693,0,0.893841827478035762190860884645610803803558230016052432030977,1,1,0,492.959421073717948717948717948717948717948717948717948717948,,5,5,5,5
synthetic,non-confirmatory-mechanism-path,canonical-synthetic,5,0.75,identity-a0-b0,frictionless,corrected_guarded_vs_dca,epsilon-dca,1,1,0,107.38457338443228562584755250639000902710750070573565989014,1.0186547811224626242289891071169229859779830402116868184219,1,0,0,not-estimated-by-canonical-run,0.0186547811224626242289891071169229859779830402116868184218951,0.0186547811224626242289891071169229859779830402116868184218951,0.0186547811224626242289891071169229859779830402116868184218951,0.0186547811224626242289891071169229859779830402116868184218951,0.0186547811224626242289891071169229859779830402116868184218951,0.0186547811224626242289891071169229859779830402116868184218951,0.0186547811224626242289891071169229859779830402116868184218951,582.33106964411017701220022578937305566749073550254304584106,-3.957887468830649094886272277358192055336526956640061549591,0.116466213928822035402440045157874611133498147100508609168212,0,0.900690408421998018854544377167282833805197686500220840235258,1,1,0,473.126748198604358875754273584961834628530350921388510273262,,0,0,5,5
