episode_id,input_kind,family,dataset_id,horizon_months,coverage,corrected_mean_config,cost_scenario,policy,terminal_wealth,terminal_cash,terminal_units,total_fees,mean_guardrail_floor,theorem_scope
trend-positive-baseline-s104729-h12,stochastic,trend,stochastic-v1:primary:trend-positive-baseline,12,1,identity-a0-b0,frictionless,dca,13009.5051697316425846630266537537167576594935884926150961909,0,123.700873799481551804274042290003843625976889382518033982181,0,,epsilon-dca
trend-positive-baseline-s104729-h12,stochastic,trend,stochastic-v1:primary:trend-positive-baseline,12,1,identity-a0-b0,frictionless,neutral_guarded,13009.5051697316425846630266537537167576594935884926150961909,0,123.700873799481551804274042290003843625976889382518033982181,0,1000,epsilon-dca
trend-positive-baseline-s104729-h12,stochastic,trend,stochastic-v1:primary:trend-positive-baseline,12,1,identity-a0-b0,frictionless,corrected_guarded,13009.5051697316425846630266537537167576594935884926150961909,0,123.700873799481551804274042290003843625976889382518033982181,0,1000,epsilon-dca
trend-positive-baseline-s104729-h12,stochastic,trend,stochastic-v1:primary:trend-positive-baseline,12,1,identity-a0-b0,proportional-10bps,dca,12996.5086610705720126503762774762405171423512372553597364545,0.000000000000000000000000000000000000000000000000000000001,123.57729650297857323104299929071313049548140797454349049169,11.988011988011988011988011988011988011988011988011988011988,,outside-current-safety-theorem
trend-positive-baseline-s104729-h12,stochastic,trend,stochastic-v1:primary:trend-positive-baseline,12,1,identity-a0-b0,proportional-10bps,neutral_guarded,12996.5086610705720126503762774762405171423512372553597364545,0.000000000000000000000000000000000000000000000000000000001,123.57729650297857323104299929071313049548140797454349049169,11.988011988011988011988011988011988011988011988011988011988,1000,outside-current-safety-theorem
trend-positive-baseline-s104729-h12,stochastic,trend,stochastic-v1:primary:trend-positive-baseline,12,1,identity-a0-b0,proportional-10bps,corrected_guarded,12996.5086610705720126503762774762405171423512372553597364545,0.000000000000000000000000000000000000000000000000000000001,123.57729650297857323104299929071313049548140797454349049169,11.988011988011988011988011988011988011988011988011988011988,1000,outside-current-safety-theorem
trend-positive-baseline-s104729-h12,stochastic,trend,stochastic-v1:primary:trend-positive-baseline,12,1,identity-a0-b0,fixed-1-usd,dca,12996.4956645619109420783636270999630409018340949041224810948,0,123.577172925682070252469768247713839782350912493135515948199,12,,outside-current-safety-theorem
trend-positive-baseline-s104729-h12,stochastic,trend,stochastic-v1:primary:trend-positive-baseline,12,1,identity-a0-b0,fixed-1-usd,neutral_guarded,12996.4956645619109420783636270999630409018340949041224810948,0,123.577172925682070252469768247713839782350912493135515948199,12,1000,outside-current-safety-theorem
trend-positive-baseline-s104729-h12,stochastic,trend,stochastic-v1:primary:trend-positive-baseline,12,1,identity-a0-b0,fixed-1-usd,corrected_guarded,12996.4956645619109420783636270999630409018340949041224810948,0,123.577172925682070252469768247713839782350912493135515948199,12,1000,outside-current-safety-theorem
trend-positive-baseline-s104729-h12,stochastic,trend,stochastic-v1:primary:trend-positive-baseline,12,0.9,identity-a0-b0,frictionless,dca,13009.5051697316425846630266537537167576594935884926150961909,0,123.700873799481551804274042290003843625976889382518033982181,0,,epsilon-dca
trend-positive-baseline-s104729-h12,stochastic,trend,stochastic-v1:primary:trend-positive-baseline,12,0.9,identity-a0-b0,frictionless,neutral_guarded,12958.9468855418844270824930084734375461293154886420626925054,630.939244544162869526266246771365825277928656902775250073608,117.220854867423102211368988544876258017648313116440719410535,0,614.527083534479431395212285419584112442133157471124107563436,epsilon-dca
trend-positive-baseline-s104729-h12,stochastic,trend,stochastic-v1:primary:trend-positive-baseline,12,0.9,identity-a0-b0,frictionless,corrected_guarded,12958.909030675812439265080508084434834816320880096484899778,664.039433634160764954671950661952465070843930470393766362498,116.905761792022446478697652961227249125807329543705456225266,0,619.939214934033613201566302520963177920343212552699424853011,epsilon-dca
trend-positive-baseline-s104729-h12,stochastic,trend,stochastic-v1:primary:trend-positive-baseline,12,0.9,identity-a0-b0,proportional-10bps,dca,12996.5086610705720126503762774762405171423512372553597364545,0.000000000000000000000000000000000000000000000000000000001,123.57729650297857323104299929071313049548140797454349049169,11.988011988011988011988011988011988011988011988011988011988,,outside-current-safety-theorem
trend-positive-baseline-s104729-h12,stochastic,trend,stochastic-v1:primary:trend-positive-baseline,12,0.9,identity-a0-b0,proportional-10bps,neutral_guarded,12946.6546908819803217372793511055995480300471894850015339161,630.662459527172216485797877406049615687924493334014897224252,117.106606350473723874857211992771597101382734363938348757976,11.3579795609119158676465555670269234608512242823836015012745,614.68857879679123481008584869020719238026252892335648018223,outside-current-safety-theorem
trend-positive-baseline-s104729-h12,stochastic,trend,stochastic-v1:primary:trend-positive-baseline,12,0.9,identity-a0-b0,proportional-10bps,corrected_guarded,12946.6499145735483983684393942612847031641030381702990372025,663.764594375220576696205828789242804531686114254231014689768,116.79180930128335151611006869956385315637184508057008310424,11.3249104951296497735302639073034537417265872984473216636465,620.094301985409035607529322119159986968109483708463999277843,outside-current-safety-theorem
