analysis_tier,family,generator_config_id,horizon_months,coverage,corrected_mean_config,cost_scenario,comparison,theorem_scope,attempted_count,generated_count,sample_count,excluded_count,mean_terminal_wealth_gap,mean_wealth_ratio,mean_relative_terminal_wealth_gap,median_relative_terminal_wealth_gap,minimum_relative_terminal_wealth_gap,maximum_relative_terminal_wealth_gap,downside_quantile_0.05,downside_quantile_0.10,downside_quantile_0.25,worst_observed_relative_shortfall,win_count,tie_count,loss_count,mean_terminal_cash_gap,mean_terminal_unit_gap,mean_cash_contribution,mean_unit_contribution,mean_identity_residual,mean_left_cash_drag,mean_right_cash_drag,mean_left_asset_exposure,mean_right_asset_exposure,mean_left_guardrail_activation_frequency,mean_right_guardrail_activation_frequency,mean_left_guardrail_floor,mean_right_guardrail_floor,mean_left_purchase_count,mean_right_purchase_count,mean_left_total_fees,mean_right_total_fees
primary,trend,trend-positive-baseline,12,1,identity-a0-b0,frictionless,corrected_guarded_vs_dca,epsilon-dca,3,3,3,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,1,1,0,1000,,12,12,0,0
primary,trend,trend-positive-baseline,12,1,identity-a0-b0,frictionless,corrected_guarded_vs_neutral_guarded,epsilon-dca,3,3,3,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,1,1,1,1000,1000,12,12,0,0
primary,trend,trend-positive-baseline,12,1,identity-a0-b0,frictionless,neutral_guarded_vs_dca,epsilon-dca,3,3,3,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,1,1,0,1000,,12,12,0,0
primary,trend,trend-positive-baseline,12,1,identity-a0-b0,proportional-10bps,corrected_guarded_vs_dca,outside-current-safety-theorem,3,3,3,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0.0000000000000000000000000000000000000000000000000000000000000833333333333333333333333333333333333333333333333333333333333,0.0000000000000000000000000000000000000000000000000000000000000833333333333333333333333333333333333333333333333333333333333,1,1,1,0,1000,,12,12,11.988011988011988011988011988011988011988011988011988011988,11.988011988011988011988011988011988011988011988011988011988
primary,trend,trend-positive-baseline,12,1,identity-a0-b0,proportional-10bps,corrected_guarded_vs_neutral_guarded,outside-current-safety-theorem,3,3,3,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0.0000000000000000000000000000000000000000000000000000000000000833333333333333333333333333333333333333333333333333333333333,0.0000000000000000000000000000000000000000000000000000000000000833333333333333333333333333333333333333333333333333333333333,1,1,1,1,1000,1000,12,12,11.988011988011988011988011988011988011988011988011988011988,11.988011988011988011988011988011988011988011988011988011988
primary,trend,trend-positive-baseline,12,1,identity-a0-b0,proportional-10bps,neutral_guarded_vs_dca,outside-current-safety-theorem,3,3,3,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0.0000000000000000000000000000000000000000000000000000000000000833333333333333333333333333333333333333333333333333333333333,0.0000000000000000000000000000000000000000000000000000000000000833333333333333333333333333333333333333333333333333333333333,1,1,1,0,1000,,12,12,11.988011988011988011988011988011988011988011988011988011988,11.988011988011988011988011988011988011988011988011988011988
primary,trend,trend-positive-baseline,12,1,identity-a0-b0,fixed-1-usd,corrected_guarded_vs_dca,outside-current-safety-theorem,3,3,3,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,1,1,0,1000,,12,12,12,12
primary,trend,trend-positive-baseline,12,1,identity-a0-b0,fixed-1-usd,corrected_guarded_vs_neutral_guarded,outside-current-safety-theorem,3,3,3,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,1,1,1,1000,1000,12,12,12,12
primary,trend,trend-positive-baseline,12,1,identity-a0-b0,fixed-1-usd,neutral_guarded_vs_dca,outside-current-safety-theorem,3,3,3,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,1,1,0,1000,,12,12,12,12
primary,trend,trend-positive-baseline,12,0.9,identity-a0-b0,frictionless,corrected_guarded_vs_dca,epsilon-dca,3,3,3,0,-37.2693631782243306472009636581232629053220248090448535358,0.997362506166750989429630183144002355652479986153517513951187,-0.00263749383324901057036981685599764434752001384648248604881222,-0.00388916706636535601758707258319036118495588961969413163367367,-0.00659424381445740204648010976117317973509293854424259501128118,0.00257092938107572635295773177637060787748878662448926849851813,-0.00632373613964819744359080604337489788007923365178774867352043,-0.00605322846483899284070150232557661602506552875933290233575968,-0.00524170544041137903203359117218177046002441408196836332247742,0.00659424381445740204648010976117317973509293854424259501128118,1,0,2,644.465215141665452025318910925557116888235715073922578336593,-6.36040499170845443030125315887061705226891574853718491777733,644.465215141665452025318910925557116888235715073922578336593,-681.73457831988978267251987458368037979355773988296743187238,-0.0000000000000000000000000000000000000000000000000000000146666666666666666666666666666666666666666666666666666666667,0.0537054345951387876687765759104630930740196429228268815280493,0,0.949110826956304255734772812491335919485018565066136062872333,1,1,0,621.75976675532573175601493167595165144053450978472476144488,,12,12,0,0
primary,trend,trend-positive-baseline,12,0.9,identity-a0-b0,frictionless,corrected_guarded_vs_neutral_guarded,epsilon-dca,3,3,3,0,-0.497532382323114607140232268308656151953385093492743545166667,0.999965511059592000673653872256647444558668478213082903023407,-0.0000344889404079993263461277433525554413315217869170969765931047,-0.00000292113752809821000178115327257265641060844993459714426947266,-0.000138093581249743917609612333850335868586665819485989676776682,0.000037547897553844148573010257065242201002708908669295891266841,-0.000124576336877579346848829215792559547369060082530850423525961,-0.00011105909250541477608804609773478322615145434557571117027524,-0.0000705073593889210638056967435614542624986371347102934105230775,0.000138093581249743917609612333850335868586665819485989676776682,1,0,2,22.935291631240890628709597128378485415884154794785262007863,-0.212637830829179908351007830569136273190983984159272130808,22.935291631240890628709597128378485415884154794785262007863,-23.4328240135640052358498293966871415678375398882780055530105,-0.0000000000000000000000000000000000000000000000000000000191386666666666666666666666666666666666666666666666666666667,0.0537054345951387876687765759104630930740196429228268815280493,0.0517941602925353801163841094830982192893626300232614430273943,0.949110826956304255734772812491335919485018565066136062872333,0.95083901887606056229926868049868727858944375743054494177574,1,1,621.75976675532573175601493167595165144053450978472476144488,616.75030342096969281744159186599781550730944176636125210949,12,12,0,0
primary,trend,trend-positive-baseline,12,0.9,identity-a0-b0,frictionless,neutral_guarded_vs_dca,epsilon-dca,3,3,3,0,-36.7718307959012160400607313898146067533686397155521099906333,0.997396662391188860884857680439059159536108585287279817156607,-0.00260333760881113911514231956094084046389141471272018284339417,-0.00388625728112924555914004706297575257900924367748678936689013,-0.00645704190924918603293370576932512371238943099101627592969516,0.00253328636394501424664679414947835489972443053034251676640279,-0.00619996344643719198555433989869018659905141225966332727341466,-0.00594288498362519793817497402805524948571339352831037861713415,-0.00517164959518921579603687641615043814569933733425153264829264,0.00645704190924918603293370576932512371238943099101627592969516,1,0,2,621.52992351042456139660931379717863147235156027913731632873,-6.14776716087927452195024532830148077907793176437791278696933,621.52992351042456139660931379717863147235156027913731632873,-658.30175430632577743667004518699323822572019999468942631937,0.00000000000000000000000000000000000000000000000000000000466666666666666666666666666666666666666666666666666666666667,0.0517941602925353801163841094830982192893626300232614430273943,0,0.95083901887606056229926868049868727858944375743054494177574,1,1,0,616.75030342096969281744159186599781550730944176636125210949,,12,12,0,0
primary,trend,trend-positive-baseline,12,0.9,identity-a0-b0,proportional-10bps,corrected_guarded_vs_dca,outside-current-safety-theorem,3,3,3,0,-36.5720249881514605691116189156313035073773573170495739619,0.99741441296112537429367577615439687151955913686808517421194,-0.00258558703887462570632422384560312848044086313191482578805924,-0.00383631849116288428446942453138121614744001897979477968685631,-0.00654272699429743928905870735071802968753029152985597783604615,0.00262228436883644645455546034528986039364772111390628015872479,-0.00627208614398398378859977906878434833352126427484985802112717,-0.00600144529367052828814085078685066697951223701984373820620818,-0.00518952274273016178676406594104962291748515525482537876145123,0.00654272699429743928905870735071802968753029152985597783604615,1,0,2,644.190982297002828993496914325451428442397329304910872895927,-6.351334022848229304795051637888664785252948360611549772499,644.190982297002828993496914325451428442397329304910872895927,-680.763007285154289562608533241082731949774686621960446857853,0.00000000000000000000000000000000000000000000000000000003,0.0536825818580835690827914095271209523701997774420759060746603,0.0000000000000000000000000000000000000000000000000000000000000833333333333333333333333333333333333333333333333333333333333,0.949084353993222707357384231528559003309959199425456716801487,1,1,0,621.91561170547177972633638448988846943723578195591173015775,,12,12,11.3444645531498473236828202654091394321254771935015875395645,11.988011988011988011988011988011988011988011988011988011988
primary,trend,trend-positive-baseline,12,0.9,identity-a0-b0,proportional-10bps,corrected_guarded_vs_neutral_guarded,outside-current-safety-theorem,3,3,3,0,-0.474029632990629520712578217668740574158359626735471906066667,0.999967246123203197376745073266823531967952239944774386249443,-0.0000327538767968026232549267331764680320477600552256137505567286,-0.000000368922207779837427056854319920158755567467058512008925661746,-0.000135500872235741712958179567763381558989660657198813073654211,0.0000376081640531136806204562225538976216019479585804838309096872,-0.000121987677232945525405067296419035418966251338184782967181356,-0.000108474482230149337851955025074689278942842019170752860708501,-0.0000679348972217607751926182110416508588726140621286625412899365,0.000135500872235741712958179567763381558989660657198813073654211,1,0,2,22.9372160429959834813558486449996374083795497109443139814643,-0.212441398540537688463483305736012834756568913695405751694,22.9372160429959834813558486449996374083795497109443139814643,-23.4112456759866130020684268626683779825379093376797858875136,-0.0000000000000000000000000000000000000000000000000000000173843333333333333333333333333333333333333333333333333333333,0.0536825818580835690827914095271209523701997774420759060746603,0.0517711471878339037926784221400376492528348149661638799095383,0.949084353993222707357384231528559003309959199425456716801487,0.95081423913664062631931197483220433316014842238929495268501,1,1,621.91561170547177972633638448988846943723578195591173015775,616.911765537317699510435657619620847093074404837187492544533,12,12,11.3444645531498473236828202654091394321254771935015875395645,11.3673788548911020524354235108087394694964857346713620790065
