source_id,evidence_layer,cost_scenario,cost_scope,comparison,comparison_role,analysis_tiers,cell_count,negative_median_cells,zero_median_cells,positive_median_cells,minimum_cell_median,maximum_cell_median,maximum_worst_observed_relative_shortfall,inference_status
deterministic-primary-v1,deterministic,fixed-1-usd,net of fixed costs; outside current safety theorem,corrected_guarded_vs_dca,complete-system performance,exploratory;primary;regression,72,28,24,20,-0.0857176233538442841813936756458838028177776166406277069531594,0.349148783283264983426645623207599134124097427470903436877383,0.0857176233538442841813936756458838028177776166406277069531594,empirical net performance; outside current safety theorem; no confirmatory inference
deterministic-primary-v1,deterministic,fixed-1-usd,net of fixed costs; outside current safety theorem,corrected_guarded_vs_neutral_guarded,corrected-mean signal contribution,exploratory;primary;regression,72,14,24,34,-0.0558074073468793976614487727745494069615518783840267895415948,0.0511560569201954748014036296312243008761921164237586746489988,0.0558074073468793976614487727745494069615518783840267895415948,empirical net performance; outside current safety theorem; no confirmatory inference
deterministic-primary-v1,deterministic,fixed-1-usd,net of fixed costs; outside current safety theorem,neutral_guarded_vs_dca,safety-architecture behavior,exploratory;primary;regression,72,35,24,13,-0.0751440358305498869240298846943340523674606433483410015861375,0.428891514063082690533670925827788572886612102298376808180734,0.0751440358305498869240298846943340523674606433483410015861375,empirical net performance; outside current safety theorem; no confirmatory inference
deterministic-primary-v1,deterministic,proportional-10bps,net of proportional costs; outside current safety theorem,corrected_guarded_vs_dca,complete-system performance,exploratory;primary;regression,72,28,18,26,-0.0854824995721634073590999770347940106299785874761162467539967,0.349169675968271158960515306361305742784855202748292886014482,0.0854824995721634073590999770347940106299785874761162467539967,empirical net performance; outside current safety theorem; no confirmatory inference
deterministic-primary-v1,deterministic,proportional-10bps,net of proportional costs; outside current safety theorem,corrected_guarded_vs_neutral_guarded,corrected-mean signal contribution,exploratory;primary;regression,72,14,24,34,-0.0558847067558028599873301511768706489981642714062325620619618,0.0511048194759674610673594757577148366176473186293710870289633,0.0558847067558028599873301511768706489981642714062325620619618,empirical net performance; outside current safety theorem; no confirmatory inference
deterministic-primary-v1,deterministic,proportional-10bps,net of proportional costs; outside current safety theorem,neutral_guarded_vs_dca,safety-architecture behavior,exploratory;primary;regression,72,35,18,19,-0.074949662816048293296105407069936325403725392576913415279048,0.429030633888170652876535229476405946994182288299935358758886,0.074949662816048293296105407069936325403725392576913415279048,empirical net performance; outside current safety theorem; no confirmatory inference
historical-confirmatory-v1,historical,fixed-1-usd,net of fixed costs; outside current safety theorem,corrected_guarded_vs_dca,complete-system performance,robustness,24,18,6,0,-0.045978008717910220517823639523926543721556929493336641778246,0,0.189791633630933924160984941671150311055267561216045339464838,empirical net performance; outside current safety theorem; no confirmatory inference
historical-confirmatory-v1,historical,fixed-1-usd,net of fixed costs; outside current safety theorem,corrected_guarded_vs_neutral_guarded,corrected-mean signal contribution,robustness,24,17,6,1,-0.0054588609804676561984274532543030876796143588842000778913494,0.000515681468132743531526311860579843088093513307860372810921185,0.0693647037220407011533275617973775673793701219763932353589908,empirical net performance; outside current safety theorem; no confirmatory inference
historical-confirmatory-v1,historical,fixed-1-usd,net of fixed costs; outside current safety theorem,neutral_guarded_vs_dca,safety-architecture behavior,robustness,24,18,6,0,-0.043691544961272192338559960109230639268340080324359125630569,0,0.135827560574970518029688017673914463530905030587150643171247,empirical net performance; outside current safety theorem; no confirmatory inference
historical-confirmatory-v1,historical,proportional-10bps,net of proportional costs; outside current safety theorem,corrected_guarded_vs_dca,complete-system performance,robustness,24,18,6,0,-0.0459210685436290306826909659017470780539389096993014291058521,0,0.189572969851425512208752899075507928592248302448642876014475,empirical net performance; outside current safety theorem; no confirmatory inference
historical-confirmatory-v1,historical,proportional-10bps,net of proportional costs; outside current safety theorem,corrected_guarded_vs_neutral_guarded,corrected-mean signal contribution,robustness,24,17,6,1,-0.0054437558483801359631179283613952192343154167567729192782504,0.000525089062803762524037169508611557079506786451684475613625795,0.069259321719365316936792031963890850285035211181420901760322,empirical net performance; outside current safety theorem; no confirmatory inference
historical-confirmatory-v1,historical,proportional-10bps,net of proportional costs; outside current safety theorem,neutral_guarded_vs_dca,safety-architecture behavior,robustness,24,18,6,0,-0.0436456830938997658446932881804716781924124089686609878642594,0,0.13568086811903104609478007979573861681784647645704402530852,empirical net performance; outside current safety theorem; no confirmatory inference
historical-registered-robustness-v1,historical,fixed-1-usd,net of fixed costs; outside current safety theorem,corrected_guarded_vs_dca,complete-system performance,robustness,90,78,12,0,-0.235075766571634467757318992674998842019735778297839869165716,0,0.321903601670701276048263538009356369699086099034968124253114,empirical net performance; outside current safety theorem; no confirmatory inference
historical-registered-robustness-v1,historical,fixed-1-usd,net of fixed costs; outside current safety theorem,corrected_guarded_vs_neutral_guarded,corrected-mean signal contribution,robustness,90,70,12,8,-0.0922735335364238579281004001095640742995709938774489773729875,0.000570387035268059410690284994745938417918575049206855032811435,0.100047415683859270378598086393052361051048013918038074874702,empirical net performance; outside current safety theorem; no confirmatory inference
historical-registered-robustness-v1,historical,fixed-1-usd,net of fixed costs; outside current safety theorem,neutral_guarded_vs_dca,safety-architecture behavior,robustness,90,78,12,0,-0.157337866637114604669382910489754253827793037764474482343644,0,0.27409995877491192794112878886626121241232646081589225925341,empirical net performance; outside current safety theorem; no confirmatory inference
historical-registered-robustness-v1,historical,proportional-10bps,net of proportional costs; outside current safety theorem,corrected_guarded_vs_dca,complete-system performance,robustness,90,78,12,0,-0.234837322518537283320390581346667992574299858664162751540356,0,0.321480047912710053698295435752272946139720173226486943175625,empirical net performance; outside current safety theorem; no confirmatory inference
historical-registered-robustness-v1,historical,proportional-10bps,net of proportional costs; outside current safety theorem,corrected_guarded_vs_neutral_guarded,corrected-mean signal contribution,robustness,90,70,12,8,-0.092160524783441306203397302563940671101190076445767596141048,0.00060074618973507168838780983576326053393758448128338594521221,0.0999231276027825393620103936563146386705171668242512101382396,empirical net performance; outside current safety theorem; no confirmatory inference
historical-registered-robustness-v1,historical,proportional-10bps,net of proportional costs; outside current safety theorem,neutral_guarded_vs_dca,safety-architecture behavior,robustness,90,78,12,0,-0.15718006251389477562334613692342734328677550931074782832775,0,0.273746935759910091243002047660198942000963869820568294581322,empirical net performance; outside current safety theorem; no confirmatory inference
stochastic-primary-v1,stochastic,fixed-1-usd,net of fixed costs; outside current safety theorem,corrected_guarded_vs_dca,complete-system performance,exploratory;primary,120,50,30,40,-0.0120667139735708050258707630579557338392651192798313397217322,0.0120723347246250495639743921089036856435285086690450006529902,0.026524434626992238747032685702909633240311768044014403221218,empirical net performance; outside current safety theorem; no confirmatory inference
stochastic-primary-v1,stochastic,fixed-1-usd,net of fixed costs; outside current safety theorem,corrected_guarded_vs_neutral_guarded,corrected-mean signal contribution,exploratory;primary,120,19,30,71,-0.000461175327533212693692397687145394420739370262046583866503133,0.00364529191742722672766555353345824478306300925511758319670023,0.00173713383935536087151255024533112595178804400992349065457947,empirical net performance; outside current safety theorem; no confirmatory inference
stochastic-primary-v1,stochastic,fixed-1-usd,net of fixed costs; outside current safety theorem,neutral_guarded_vs_dca,safety-architecture behavior,exploratory;primary,120,54,30,36,-0.0137167334504002980080033902460818508276891588181710744530042,0.0113148509118805618900530760443529712563309516522786870032459,0.0269390503524358565994957391758298807574473132006776789326618,empirical net performance; outside current safety theorem; no confirmatory inference
stochastic-primary-v1,stochastic,proportional-10bps,net of proportional costs; outside current safety theorem,corrected_guarded_vs_dca,complete-system performance,exploratory;primary,120,50,30,40,-0.0119638480594824676447784607894501695249610029420800172260914,0.0121422013011262347917810329430060631466772149066696956144118,0.0264118139897362755257116262876950531115254096265744553549837,empirical net performance; outside current safety theorem; no confirmatory inference
stochastic-primary-v1,stochastic,proportional-10bps,net of proportional costs; outside current safety theorem,corrected_guarded_vs_neutral_guarded,corrected-mean signal contribution,exploratory;primary,120,19,30,71,-0.00046447423322673190324005109655975690652653052808660789601181,0.00363826429215336594957986506972852231902913651500904545191693,0.00175259209669451293193783266374941045450034509299763978912134,empirical net performance; outside current safety theorem; no confirmatory inference
stochastic-primary-v1,stochastic,proportional-10bps,net of proportional costs; outside current safety theorem,neutral_guarded_vs_dca,safety-architecture behavior,exploratory;primary,120,54,30,36,-0.0136254504185393537666320055755198182646783102481013085658866,0.0113917413401099267657468816728963434895725715011887882688693,0.0268440483779848234367094907445831110741116778481070918595034,empirical net performance; outside current safety theorem; no confirmatory inference
