source_id,evidence_layer,source_run_id,episode_evidence,analysis_tier,design_tier,schedule_id,dataset_id,family,generator_config_id,horizon_months,coverage,cost_scenario,cost_scope,theorem_scope,comparison,comparison_role,corrected_mean_config,sample_count,attempted_count,excluded_count,median_relative_terminal_wealth_gap,mean_relative_terminal_wealth_gap,downside_quantile_0.05,worst_observed_relative_shortfall,minimum_relative_terminal_wealth_gap,maximum_relative_terminal_wealth_gap,mean_left_cash_drag,mean_left_asset_exposure,mean_left_guardrail_activation_frequency,mean_left_purchase_count,mean_terminal_cash_gap,mean_terminal_unit_gap,mean_terminal_wealth_gap,mean_cash_contribution,mean_unit_contribution,win_count,tie_count,loss_count
deterministic-primary-v1,deterministic,smartdca-deterministic-v1-80e0f231729885a672c4f4162a35516f3cd257aa6dc71fafc01d14b03cabe9db,public episode rows independently reproduced and reconciled,exploratory,,,deterministic-adversarial-v1,adversarial-design-iteration,,6,0.5,fixed-1-usd,net of fixed costs; outside current safety theorem,outside-current-safety-theorem,corrected_guarded_vs_dca,complete-system performance,identity-a0-b0,1,1,0,0.227543285686637703711457623299521635234626708018391205199629,0.227543285686637703711457623299521635234626708018391205199629,0.227543285686637703711457623299521635234626708018391205199629,0,0.227543285686637703711457623299521635234626708018391205199629,0.227543285686637703711457623299521635234626708018391205199629,0.107538842361928755964282699774716476072142201139569759244967,0.806754156070869754741711690348861707213537628012616000043762,0.5,6,645.2330541715725357856961986482988564328532068374185554698,-0.8771427605418589900323046155407124801805831514119343364688,618.91877135531676608472706018207748202743571229506052537574,645.2330541715725357856961986482988564328532068374185554698,-26.31428281625576970096913846622137440541749454235803009406,1,0,0
deterministic-primary-v1,deterministic,smartdca-deterministic-v1-80e0f231729885a672c4f4162a35516f3cd257aa6dc71fafc01d14b03cabe9db,public episode rows independently reproduced and reconciled,exploratory,,,deterministic-adversarial-v1,adversarial-design-iteration,,6,0.5,fixed-1-usd,net of fixed costs; outside current safety theorem,outside-current-safety-theorem,corrected_guarded_vs_neutral_guarded,corrected-mean signal contribution,identity-a0-b0,1,1,0,0.00968977983245246525481562586942865014157332885315334591946925,0.00968977983245246525481562586942865014157332885315334591946925,0.00968977983245246525481562586942865014157332885315334591946925,0,0.00968977983245246525481562586942865014157332885315334591946925,0.00968977983245246525481562586942865014157332885315334591946925,0.107538842361928755964282699774716476072142201139569759244967,0.806754156070869754741711690348861707213537628012616000043762,0.5,6,-317.44128294963958542642501347291326477926800528379356574232,11.649474190215716767543452960216863277395174424345641421107,32.04294275683191759987857533359263354258722744657567689089,-317.44128294963958542642501347291326477926800528379356574232,349.48422570647150302630358880650589832185523273036924263321,1,0,0
deterministic-primary-v1,deterministic,smartdca-deterministic-v1-80e0f231729885a672c4f4162a35516f3cd257aa6dc71fafc01d14b03cabe9db,public episode rows independently reproduced and reconciled,exploratory,,,deterministic-adversarial-v1,adversarial-design-iteration,,6,0.5,fixed-1-usd,net of fixed costs; outside current safety theorem,outside-current-safety-theorem,neutral_guarded_vs_dca,safety-architecture behavior,identity-a0-b0,1,1,0,0.215762811712658679826181217388785557956398245769419948607484,0.215762811712658679826181217388785557956398245769419948607484,0.215762811712658679826181217388785557956398245769419948607484,0,0.215762811712658679826181217388785557956398245769419948607484,0.215762811712658679826181217388785557956398245769419948607484,0.160445722853535353535353535353535353535353535353535353535353,0.708887462432962404122024423266323592267490788242406122559536,0.5,6,962.67433712121212121212121212121212121212121212121212121212,-12.5266169507575757575757575757575757575757575757575757575758,586.87582859848484848484848484848484848484848484848484848485,962.67433712121212121212121212121212121212121212121212121212,-375.79850852272727272727272727272727272727272727272727272727,1,0,0
deterministic-primary-v1,deterministic,smartdca-deterministic-v1-80e0f231729885a672c4f4162a35516f3cd257aa6dc71fafc01d14b03cabe9db,public episode rows independently reproduced and reconciled,exploratory,,,deterministic-adversarial-v1,adversarial-design-iteration,,6,0.5,frictionless,gross frictionless; epsilon-DCA theorem scope for guarded policies,epsilon-dca,corrected_guarded_vs_dca,complete-system performance,identity-a0-b0,1,1,0,0.227314684075902699825534740116971424132687669555479531712337,0.227314684075902699825534740116971424132687669555479531712337,0.227314684075902699825534740116971424132687669555479531712337,0,0.227314684075902699825534740116971424132687669555479531712337,0.227314684075902699825534740116971424132687669555479531712337,0.107549062225215840141248364438503522657872779963578656979452,0.806893093618510827987170602878871015015342304876687302974593,0.5,6,645.29437335129504084749018663102113594723667978147194187671,-0.8792827842150290592352320801149646746836599224532708662402,618.9158898248441690704332242275721957067268821078738158895,645.29437335129504084749018663102113594723667978147194187671,-26.37848352645087177705696240344894024050979767359812598721,1,0,0
deterministic-primary-v1,deterministic,smartdca-deterministic-v1-80e0f231729885a672c4f4162a35516f3cd257aa6dc71fafc01d14b03cabe9db,public episode rows independently reproduced and reconciled,exploratory,,,deterministic-adversarial-v1,adversarial-design-iteration,,6,0.5,frictionless,gross frictionless; epsilon-DCA theorem scope for guarded policies,epsilon-dca,corrected_guarded_vs_neutral_guarded,corrected-mean signal contribution,identity-a0-b0,1,1,0,0.00968552391110980708838601251366373775297140496746418008378038,0.00968552391110980708838601251366373775297140496746418008378038,0.00968552391110980708838601251366373775297140496746418008378038,0,0.00968552391110980708838601251366373775297140496746418008378038,0.00968552391110980708838601251366373775297140496746418008378038,0.107549062225215840141248364438503522657872779963578656979452,0.806893093618510827987170602878871015015342304876687302974593,0.5,6,-317.4897175577958682434189042780697731436724111276189672142,11.6514937309364860922799194350365504768314915926982442852749,32.05509437029871452497867877302674116127233665332836134404,-317.4897175577958682434189042780697731436724111276189672142,349.54481192809458276839758305109651430494474778094732855824,1,0,0
deterministic-primary-v1,deterministic,smartdca-deterministic-v1-80e0f231729885a672c4f4162a35516f3cd257aa6dc71fafc01d14b03cabe9db,public episode rows independently reproduced and reconciled,exploratory,,,deterministic-adversarial-v1,adversarial-design-iteration,,6,0.5,frictionless,gross frictionless; epsilon-DCA theorem scope for guarded policies,epsilon-dca,neutral_guarded_vs_dca,safety-architecture behavior,identity-a0-b0,1,1,0,0.215541527545909849749582637729549248747913188647746243739568,0.215541527545909849749582637729549248747913188647746243739568,0.215541527545909849749582637729549248747913188647746243739568,0,0.215541527545909849749582637729549248747913188647746243739568,0.215541527545909849749582637729549248747913188647746243739568,0.160464015151515151515151515151515151515151515151515151515152,0.709092469795489173587416038970793364664477778493100710315672,0.5,6,962.78409090909090909090909090909090909090909090909090909091,-12.5307765151515151515151515151515151515151515151515151515151,586.86079545454545454545454545454545454545454545454545454546,962.78409090909090909090909090909090909090909090909090909091,-375.92329545454545454545454545454545454545454545454545454545,1,0,0
deterministic-primary-v1,deterministic,smartdca-deterministic-v1-80e0f231729885a672c4f4162a35516f3cd257aa6dc71fafc01d14b03cabe9db,public episode rows independently reproduced and reconciled,exploratory,,,deterministic-adversarial-v1,adversarial-design-iteration,,6,0.5,proportional-10bps,net of proportional costs; outside current safety theorem,outside-current-safety-theorem,corrected_guarded_vs_dca,complete-system performance,identity-a0-b0,1,1,0,0.227552182770936543667124339326922252021061848368246726201696,0.227552182770936543667124339326922252021061848368246726201696,0.227552182770936543667124339326922252021061848368246726201696,0,0.227552182770936543667124339326922252021061848368246726201696,0.227552182770936543667124339326922252021061848368246726201696,0.10754343094178336712978908864572747138562832510659849766222,0.806747504379640491176449371350088323593956964833499871728281,0.5,6,645.260585650700202778734531874364828313769950639590985973319,-0.877233174735296370194266241719824649690063172777364746803,618.94359040864131167290654462277008882306805545627004356923,645.260585650700202778734531874364828313769950639590985973319,-26.316995242058891105827987251594739490701895183320942404089,1,0,0
deterministic-primary-v1,deterministic,smartdca-deterministic-v1-80e0f231729885a672c4f4162a35516f3cd257aa6dc71fafc01d14b03cabe9db,public episode rows independently reproduced and reconciled,exploratory,,,deterministic-adversarial-v1,adversarial-design-iteration,,6,0.5,proportional-10bps,net of proportional costs; outside current safety theorem,outside-current-safety-theorem,corrected_guarded_vs_neutral_guarded,corrected-mean signal contribution,identity-a0-b0,1,1,0,0.00958488260784817665952978202451828388554552710055296191841406,0.00958488260784817665952978202451828388554552710055296191841406,0.00958488260784817665952978202451828388554552710055296191841406,0,0.00958488260784817665952978202451828388554552710055296191841406,0.00958488260784817665952978202451828388554552710055296191841406,0.10754343094178336712978908864572747138562832510659849766222,0.806747504379640491176449371350088323593956964833499871728281,0.5,6,-317.464893421358426086723867686296107335813414864217711005846,11.6388169440242156660982051274358265303575722948354554562115,31.6996148993680438962222861367786885749137539808459526805,-317.464893421358426086723867686296107335813414864217711005846,349.164508320726469982946153823074795910727168845063663686346,1,0,0
deterministic-primary-v1,deterministic,smartdca-deterministic-v1-80e0f231729885a672c4f4162a35516f3cd257aa6dc71fafc01d14b03cabe9db,public episode rows independently reproduced and reconciled,exploratory,,,deterministic-adversarial-v1,adversarial-design-iteration,,6,0.5,proportional-10bps,net of proportional costs; outside current safety theorem,outside-current-safety-theorem,neutral_guarded_vs_dca,safety-architecture behavior,identity-a0-b0,1,1,0,0.21589794371728240238694725776925713883580724586129865324794,0.21589794371728240238694725776925713883580724586129865324794,0.21589794371728240238694725776925713883580724586129865324794,0,0.21589794371728240238694725776925713883580724586129865324794,0.21589794371728240238694725776925713883580724586129865324794,0.160454246512009771477576399926776822608263894250634782829861,0.708904643485935912120157629472605255082687652427189266509049,0.5,6,962.725479072058628865458399560660935649583365503808696979165,-12.5160501187595120362924713691556511800476354676128202030145,587.24397550927326777668425848599140024815430147542409088873,962.725479072058628865458399560660935649583365503808696979165,-375.481503562785361088774141074669535401429064028384606090435,1,0,0
deterministic-primary-v1,deterministic,smartdca-deterministic-v1-80e0f231729885a672c4f4162a35516f3cd257aa6dc71fafc01d14b03cabe9db,public episode rows independently reproduced and reconciled,exploratory,,,deterministic-adversarial-v1,adversarial-design-iteration,,6,0.75,fixed-1-usd,net of fixed costs; outside current safety theorem,outside-current-safety-theorem,corrected_guarded_vs_dca,complete-system performance,identity-a0-b0,1,1,0,0.193725785809141701191821936942548779347159036251116173945034,0.193725785809141701191821936942548779347159036251116173945034,0.193725785809141701191821936942548779347159036251116173945034,0,0.193725785809141701191821936942548779347159036251116173945034,0.193725785809141701191821936942548779347159036251116173945034,0.0804067885782887651302530162615171888949995465038726923032083,0.85141678123490741870691259601596838984040095201987771570633,0.833333333333333333333333333333333333333333333333333333333333,6,482.44073146973259078151809756910313336999727902323615381925,1.4831428834295504792353723368417337528363504646351842067646,526.93501797261910515857926767435514595508779296229168002219,482.44073146973259078151809756910313336999727902323615381925,44.49428650288651437706117010525201258509051393905552620294,1,0,0
