source_id,evidence_layer,analysis_tier,design_tier,schedule_id,cost_scenario,cost_scope,comparison,comparison_role,analysis_tiers,cell_count,negative_median_cells,zero_median_cells,positive_median_cells,minimum_cell_median,maximum_cell_median,maximum_worst_observed_relative_shortfall,inference_status
deterministic-primary-v1,deterministic,exploratory,,,fixed-1-usd,net of fixed costs; outside current safety theorem,corrected_guarded_vs_dca,complete-system performance,exploratory,3,0,0,3,0.0978078058773013291100386574746584712641985325978263465276072,0.227543285686637703711457623299521635234626708018391205199629,0,empirical net performance; outside current safety theorem; no confirmatory inference
deterministic-primary-v1,deterministic,exploratory,,,fixed-1-usd,net of fixed costs; outside current safety theorem,corrected_guarded_vs_neutral_guarded,corrected-mean signal contribution,exploratory,3,0,0,3,0.00968977983245246525481562586942865014157332885315334591946925,0.0207364994724760728403349121475937877846427097797775804765056,0,empirical net performance; outside current safety theorem; no confirmatory inference
deterministic-primary-v1,deterministic,exploratory,,,fixed-1-usd,net of fixed costs; outside current safety theorem,neutral_guarded_vs_dca,safety-architecture behavior,exploratory,3,0,0,3,0.075505584883715100743481377872028957170860342813598239307755,0.215762811712658679826181217388785557956398245769419948607484,0,empirical net performance; outside current safety theorem; no confirmatory inference
deterministic-primary-v1,deterministic,exploratory,,,proportional-10bps,net of proportional costs; outside current safety theorem,corrected_guarded_vs_dca,complete-system performance,exploratory,3,0,0,3,0.0977984464803641980036585083950811016596578276458827423300122,0.227552182770936543667124339326922252021061848368246726201696,0,empirical net performance; outside current safety theorem; no confirmatory inference
deterministic-primary-v1,deterministic,exploratory,,,proportional-10bps,net of proportional costs; outside current safety theorem,corrected_guarded_vs_neutral_guarded,corrected-mean signal contribution,exploratory,3,0,0,3,0.00958488260784817665952978202451828388554552710055296191841406,0.0206823131320877335273097082175417060008038917437435652747531,0,empirical net performance; outside current safety theorem; no confirmatory inference
deterministic-primary-v1,deterministic,exploratory,,,proportional-10bps,net of proportional costs; outside current safety theorem,neutral_guarded_vs_dca,safety-architecture behavior,exploratory,3,0,0,3,0.0755535119557781269421110962217269320007679195670850863784747,0.21589794371728240238694725776925713883580724586129865324794,0,empirical net performance; outside current safety theorem; no confirmatory inference
deterministic-primary-v1,deterministic,primary,,,fixed-1-usd,net of fixed costs; outside current safety theorem,corrected_guarded_vs_dca,complete-system performance,primary,42,27,3,12,-0.0857176233538442841813936756458838028177776166406277069531594,0.349148783283264983426645623207599134124097427470903436877383,0.0857176233538442841813936756458838028177776166406277069531594,empirical net performance; outside current safety theorem; no confirmatory inference
deterministic-primary-v1,deterministic,primary,,,fixed-1-usd,net of fixed costs; outside current safety theorem,corrected_guarded_vs_neutral_guarded,corrected-mean signal contribution,primary,42,14,3,25,-0.0558074073468793976614487727745494069615518783840267895415948,0.0276837438458179256410378485430059985354314843436390198345045,0.0558074073468793976614487727745494069615518783840267895415948,empirical net performance; outside current safety theorem; no confirmatory inference
deterministic-primary-v1,deterministic,primary,,,fixed-1-usd,net of fixed costs; outside current safety theorem,neutral_guarded_vs_dca,safety-architecture behavior,primary,42,29,3,10,-0.0751440358305498869240298846943340523674606433483410015861375,0.428891514063082690533670925827788572886612102298376808180734,0.0751440358305498869240298846943340523674606433483410015861375,empirical net performance; outside current safety theorem; no confirmatory inference
deterministic-primary-v1,deterministic,primary,,,proportional-10bps,net of proportional costs; outside current safety theorem,corrected_guarded_vs_dca,complete-system performance,primary,42,27,0,15,-0.0854824995721634073590999770347940106299785874761162467539967,0.349169675968271158960515306361305742784855202748292886014482,0.0854824995721634073590999770347940106299785874761162467539967,empirical net performance; outside current safety theorem; no confirmatory inference
deterministic-primary-v1,deterministic,primary,,,proportional-10bps,net of proportional costs; outside current safety theorem,corrected_guarded_vs_neutral_guarded,corrected-mean signal contribution,primary,42,14,3,25,-0.0558847067558028599873301511768706489981642714062325620619618,0.0276792338445029415946059864988193004601321866140051351050034,0.0558847067558028599873301511768706489981642714062325620619618,empirical net performance; outside current safety theorem; no confirmatory inference
deterministic-primary-v1,deterministic,primary,,,proportional-10bps,net of proportional costs; outside current safety theorem,neutral_guarded_vs_dca,safety-architecture behavior,primary,42,29,0,13,-0.074949662816048293296105407069936325403725392576913415279048,0.429030633888170652876535229476405946994182288299935358758886,0.074949662816048293296105407069936325403725392576913415279048,empirical net performance; outside current safety theorem; no confirmatory inference
deterministic-primary-v1,deterministic,regression,,,fixed-1-usd,net of fixed costs; outside current safety theorem,corrected_guarded_vs_dca,complete-system performance,regression,9,1,3,5,-0.00252803824232395660967089538518109946681375252803496134618584,0.0251869216154930440644726359012073297787583501869234303837365,0.00252803824232395660967089538518109946681375252803496134618584,empirical net performance; outside current safety theorem; no confirmatory inference
