slice_id,label,evidence_layer,analysis_tier,evidence_scope,coverage,comparison,comparison_role,cell_count,sample_count_minimum,sample_count_maximum,median_of_cell_medians,minimum_cell_median,maximum_cell_median,minimum_cell_downside_0.05,maximum_worst_observed_relative_shortfall,median_left_cash_drag,median_left_asset_exposure,median_left_guardrail_activation_frequency,median_left_guardrail_floor_per_deposit,median_left_purchase_count,mean_terminal_wealth_gap_per_contributed_capital,mean_cash_contribution_per_contributed_capital,mean_unit_contribution_per_contributed_capital,normalized_cash_unit_identity_residual,cost_scope,aggregation
deterministic-primary,Deterministic primary catalog,deterministic,primary,deterministic stress evidence,0.5,corrected_guarded_vs_dca,complete-system performance,14,1,1,-0.008594244604942299556429631493807882819911366824341222407853395,-0.085645614130186013650917330385786707094025698463418838593974,0.348798972438855647429887465699459992702303997273286110162718,-0.085645614130186013650917330385786707094025698463418838593974,0.085645614130186013650917330385786707094025698463418838593974,0.157084609419000129523775920850193719277492225936740787980269,0.8477506322325302627321346943275499484199981789721210749202165,0.428571428571428571428571428571428571428571428571428571428571,0.14375,5.5,-0.01269764137437193338779230525097476186837105609824219966612045238095238095238095238095238095238095238,0.1687643917082946525153798527691145557235905937631405221935755687074829931972789115646258503401360544,-0.1814620330826665859031721580200893175919616498613827218596960210884353741496598639455782312925170069,-1.2E-100,gross frictionless; epsilon-DCA theorem scope for guarded policies,descriptive across source aggregate cells; no cross-layer pooling
deterministic-primary,Deterministic primary catalog,deterministic,primary,deterministic stress evidence,0.5,corrected_guarded_vs_neutral_guarded,corrected-mean signal contribution,14,1,1,0.00422758127929904030927094850481012680240755429183000663449179,-0.0557683976320804647268305226717346024278133518284169729606172,0.0276704001336416247252564999279123900030986079994271082613926,-0.0557683976320804647268305226717346024278133518284169729606172,0.0557683976320804647268305226717346024278133518284169729606172,0.157084609419000129523775920850193719277492225936740787980269,0.8477506322325302627321346943275499484199981789721210749202165,0.428571428571428571428571428571428571428571428571428571428571,0.14375,5.5,0.004287073947803923944385944740481631637834851480733962260954500000000000000000000000000000000000000001,-0.0003507235731652730458836411774398158695860338967370563537164244897959183673469387755102040816326530616,0.004637797520969196990269585917921447507420885377471018614670924489795918367346938775510204081632653062,-1E-102,gross frictionless; epsilon-DCA theorem scope for guarded policies,descriptive across source aggregate cells; no cross-layer pooling
deterministic-primary,Deterministic primary catalog,deterministic,primary,deterministic stress evidence,0.5,neutral_guarded_vs_dca,safety-architecture behavior,14,1,1,-0.02197616848417594664113881129418109721918827623596217360804955,-0.0750809426039131161857336628328285549712926661587915048588785,0.4284620098039215686274509803921568627450980392156862745098,-0.0750809426039131161857336628328285549712926661587915048588785,0.0750809426039131161857336628328285549712926661587915048588785,0.1717242324561403508771929824561403508771929824561403508771925,0.857678257462747272192354259240710047897592547490936857235122,0.428571428571428571428571428571428571428571428571428571428571,0.14375,5.5,-0.01698471532217585733217824999145639350620590757897616192707495238095238095238095238095238095238095239,0.1691151152814599255612634939465543715931766276598775785472919931972789115646258503401360544217687074,-0.1860998306036357828934417439380107650993825352388537404743669455782312925170068027210884353741496599,-1.1E-100,gross frictionless; epsilon-DCA theorem scope for guarded policies,descriptive across source aggregate cells; no cross-layer pooling
deterministic-primary,Deterministic primary catalog,deterministic,primary,deterministic stress evidence,0.75,corrected_guarded_vs_dca,complete-system performance,14,1,1,-0.00852086396292280667575418078643956587716651852282928784084372,-0.0497779554821360010156347428296690434559388162065854801812415,0.261054742372602351052781758983544708719912301355909034029994,-0.0497779554821360010156347428296690434559388162065854801812415,0.0497779554821360010156347428296690434559388162065854801812415,0.1354202140325210861976185609309107280446440123651756282111835,0.8810781422673515826994572512599743811804663022901986681578445,0.9285714285714285714285714285714285714285714285714285714285715,0.441333184481437125343411112701077283512166353253766618817901,5.5,-0.01147801283037096288966763891240168979070583932308061587913188095238095238095238095238095238095238096,0.1330091594604386621402769033626477847546509792493563961380118697278911564625850340136054421768707483,-0.1444871722908096250299445422750494745453568185724370120171437506802721088435374149659863945578231293,-4E-101,gross frictionless; epsilon-DCA theorem scope for guarded policies,descriptive across source aggregate cells; no cross-layer pooling
deterministic-primary,Deterministic primary catalog,deterministic,primary,deterministic stress evidence,0.75,corrected_guarded_vs_neutral_guarded,corrected-mean signal contribution,14,1,1,0.0010668164611736313204416446105023045647500655925816429425649695,-0.0290110893377547337798676803367985423046266122224696882685999,0.0151981995923582953590409264034979534049726632478089380602593,-0.0290110893377547337798676803367985423046266122224696882685999,0.0290110893377547337798676803367985423046266122224696882685999,0.1354202140325210861976185609309107280446440123651756282111835,0.8810781422673515826994572512599743811804663022901986681578445,0.9285714285714285714285714285714285714285714285714285714285715,0.441333184481437125343411112701077283512166353253766618817901,5.5,0.001504666721549019919925571110154227171886149989187382408187935374149659863945578231292517006802721089,0.005192889272425542788296452614590885896865207872298271602548469387755102040816326530612244897959183673,-0.003688222550876522868370881504436658724979057883110889194360534013605442176870748299319727891156462584,0E-102,gross frictionless; epsilon-DCA theorem scope for guarded policies,descriptive across source aggregate cells; no cross-layer pooling
deterministic-primary,Deterministic primary catalog,deterministic,primary,deterministic stress evidence,0.75,neutral_guarded_vs_dca,safety-architecture behavior,14,1,1,-0.0165790886420190613215903381961648593569597252684319948160128,-0.0452615189338337761757000315873576246307066277708615916312066,0.298732383578431372549019607843137254901960784313725490196082,-0.0452615189338337761757000315873576246307066277708615916312066,0.0452615189338337761757000315873576246307066277708615916312066,0.1267264229910714285714285714285714285714285714285714285714285,0.885029455038459619887090562900238886327468657041227201327440,1,0.447497117918313570487483530961791831357048748353096179183134,5.5,-0.01298267955191998280959321002255591696259198931226799828731981632653061224489795918367346938775510204,0.1278162701880131193519804507480568988577857713770581245354634003401360544217687074829931972789115646,-0.1407989497399331021615736607706128158203777606893261228227832166666666666666666666666666666666666667,-6E-101,gross frictionless; epsilon-DCA theorem scope for guarded policies,descriptive across source aggregate cells; no cross-layer pooling
deterministic-primary,Deterministic primary catalog,deterministic,primary,deterministic stress evidence,0.9,corrected_guarded_vs_dca,complete-system performance,14,1,1,-0.00343420643036785983356966810958156830247679051852366171496985,-0.0199111821928544004062538971318676173823755264826341920724961,0.108241448877462671606663530139744565735442857512254450384676,-0.0199111821928544004062538971318676173823755264826341920724961,0.0199111821928544004062538971318676173823755264826341920724961,0.05817940855593892447075802307864046419536698602340087668227655,0.9511251916111101171726218683334622468828956411518683974687375,1,0.7756321952126296655995684873504174044955142157299342417102105,5.5,-0.004511075974349449686251195476403498810363761382817056500369170068027210884353741496598639455782312926,0.05575270080085020488548264996959511374851097103659532438023602210884353741496598639455782312925170069,-0.0602637767751996545717338454459986125588747324194123808806051921768707482993197278911564625850340136,1.6E-101,gross frictionless; epsilon-DCA theorem scope for guarded policies,descriptive across source aggregate cells; no cross-layer pooling
deterministic-primary,Deterministic primary catalog,deterministic,primary,deterministic stress evidence,0.9,corrected_guarded_vs_neutral_guarded,corrected-mean signal contribution,14,1,1,0.0001941230060059964549547263550206019790512576095975341353414105,-0.0100505362891501398802280328196642708901867154931894209657596,0.00692621957186933406577648541787769606952745362334661554104906,-0.0100505362891501398802280328196642708901867154931894209657596,0.0100505362891501398802280328196642708901867154931894209657596,0.05817940855593892447075802307864046419536698602340087668227655,0.9511251916111101171726218683334622468828956411518683974687375,1,0.7756321952126296655995684873504174044955142157299342417102105,5.5,0.0007024544076232359509277033633530948627401491289043626754247312925170068027210884353741496598639455781,0.00288548740515454703525319224137962548558840739742292034921444591836734693877551020408163265306122449,-0.002183032997531311084325488878026530622848258268518557673789714625850340136054421768707482993197278912,-1E-103,gross frictionless; epsilon-DCA theorem scope for guarded policies,descriptive across source aggregate cells; no cross-layer pooling
deterministic-primary,Deterministic primary catalog,deterministic,primary,deterministic stress evidence,0.9,neutral_guarded_vs_dca,safety-architecture behavior,14,1,1,-0.00641010270984595923294589760990928814185554321116550629033878,-0.0181046075735335104702800126349430498522826511083446366524856,0.119492953431372549019607843137254901960784313725490196078429,-0.0181046075735335104702800126349430498522826511083446366524856,0.0181046075735335104702800126349430498522826511083446366524856,0.05392011767700501253132832080200501253132832080200501253132875,0.9537420506094775490825150378809362738982609510883846451058745,1,0.778998847167325428194993412384716732542819499341238471673255,5.5,-0.005213530381972685637178898839756593673103910511721419175793901360544217687074829931972789115646258504,0.05286721339569565785022945772821548826292256363917240403102157619047619047619047619047619047619047619,-0.05808074377766834348740835656797208193602647415089382320681547755102040816326530612244897959183673469,4E-102,gross frictionless; epsilon-DCA theorem scope for guarded policies,descriptive across source aggregate cells; no cross-layer pooling
deterministic-primary,Deterministic primary catalog,deterministic,primary,deterministic stress evidence,1,corrected_guarded_vs_dca,complete-system performance,14,1,1,0,0,0,0,0,0,1,1,1,5.5,0,0,0,0,gross frictionless; epsilon-DCA theorem scope for guarded policies,descriptive across source aggregate cells; no cross-layer pooling
deterministic-primary,Deterministic primary catalog,deterministic,primary,deterministic stress evidence,1,corrected_guarded_vs_neutral_guarded,corrected-mean signal contribution,14,1,1,0,0,0,0,0,0,1,1,1,5.5,0,0,0,0,gross frictionless; epsilon-DCA theorem scope for guarded policies,descriptive across source aggregate cells; no cross-layer pooling
deterministic-primary,Deterministic primary catalog,deterministic,primary,deterministic stress evidence,1,neutral_guarded_vs_dca,safety-architecture behavior,14,1,1,0,0,0,0,0,0,1,1,1,5.5,0,0,0,0,gross frictionless; epsilon-DCA theorem scope for guarded policies,descriptive across source aggregate cells; no cross-layer pooling
stochastic-primary,Stochastic primary families,stochastic,primary,controlled sensitivity,0.5,corrected_guarded_vs_dca,complete-system performance,15,3,3,-0.00496856996521904588743520330837696916855368122977495398252495,-0.00895837235414921765291891205925977510717352731863705728162986,0.00164958218234483006618282985753382775765153013357849135922404,-0.0157080296185346071815377457383209278006465854067389292572552,0.0164676622466561023253667493949248905390706237978973092483223,0.0299085762002884838123574419873087029871629824732699535987336,0.97242608109904959317715818056230690732129484254919475479974,0.064814814814814814814814814814814814814814814814814814814815,0.0210410361365799936922668243812896619204078357512531929310985,36,-0.004108003949862424862490932620650805599153443053629748254400875092592592592592592592592592592592592592,0.04458454230198598828823180126531404507293713273003410455033334296296296296296296296296296296296296297,-0.04869254625184841315072273388596485067209057578366385280473426407407407407407407407407407407407407407,-4.6018518518518518518518518518518518518508E-62,gross frictionless; epsilon-DCA theorem scope for guarded policies,descriptive across source aggregate cells; no cross-layer pooling
