slice_id,label,evidence_layer,claim_tier,comparison,comparison_role,cell_count,negative_median_cells,zero_median_cells,positive_median_cells,minimum_cell_median,maximum_cell_median,minimum_cell_downside_0.05,maximum_worst_observed_relative_shortfall,holm_significant_cells,holm_tested_cells,inference_status,sampling_boundary
deterministic-primary-lambda-075,Deterministic primary catalog at lambda=0.75,deterministic,deterministic stress evidence,corrected_guarded_vs_dca,complete-system performance,14,9,1,4,-0.0497779554821360010156347428296690434559388162065854801812415,0.261054742372602351052781758983544708719912301355909034029994,-0.0497779554821360010156347428296690434559388162065854801812415,0.0497779554821360010156347428296690434559388162065854801812415,,,descriptive; no registered test,fixed catalog; signs are not frequencies
deterministic-primary-lambda-075,Deterministic primary catalog at lambda=0.75,deterministic,deterministic stress evidence,corrected_guarded_vs_neutral_guarded,corrected-mean signal contribution,14,5,1,8,-0.0290110893377547337798676803367985423046266122224696882685999,0.0151981995923582953590409264034979534049726632478089380602593,-0.0290110893377547337798676803367985423046266122224696882685999,0.0290110893377547337798676803367985423046266122224696882685999,,,descriptive; no registered test,fixed catalog; signs are not frequencies
deterministic-primary-lambda-075,Deterministic primary catalog at lambda=0.75,deterministic,deterministic stress evidence,neutral_guarded_vs_dca,safety-architecture behavior,14,10,1,3,-0.0452615189338337761757000315873576246307066277708615916312066,0.298732383578431372549019607843137254901960784313725490196082,-0.0452615189338337761757000315873576246307066277708615916312066,0.0452615189338337761757000315873576246307066277708615916312066,,,descriptive; no registered test,fixed catalog; signs are not frequencies
stochastic-primary-60m-lambda-075,Stochastic primary families at 60 months and lambda=0.75,stochastic,controlled sensitivity,corrected_guarded_vs_dca,complete-system performance,5,3,0,2,-0.00773299168491765961211689112154729834114528453675149302910682,0.00114710110341967509064459611759195636001390633162107134809001,-0.00882820108964003957718551494694646278471499362931333802657843,0.0089498910234980817955264731497685921673338501951535430262975,,,descriptive; no registered test,three saved seeds per family; no population inference
stochastic-primary-60m-lambda-075,Stochastic primary families at 60 months and lambda=0.75,stochastic,controlled sensitivity,corrected_guarded_vs_neutral_guarded,corrected-mean signal contribution,5,1,0,4,-0.000286782464573886265034334684063885417213030341156059336187265,0.000708036014827580939960448390256064445136708402746226141447491,-0.000604224955370228349161772538874035980154211654896999237275619,0.000639496343236488580731487856075163820481009578645992559618769,,,descriptive; no registered test,three saved seeds per family; no population inference
stochastic-primary-60m-lambda-075,Stochastic primary families at 60 months and lambda=0.75,stochastic,controlled sensitivity,neutral_guarded_vs_dca,safety-architecture behavior,5,3,0,2,-0.0074483452751587806432373065436778552486723762277254353071796,0.000951102084732896235273985804545491412685026671189711797883174,-0.00822897582074059436834528031113935481705930692118759706749432,0.00831571254802746256002394406307952143576896588712783726308485,,,descriptive; no registered test,three saved seeds per family; no population inference
historical-confirmatory-nonunit,Historical primary non-unit frictionless cells,historical,confirmatory for H1/H2; secondary for architecture,corrected_guarded_vs_dca,complete-system performance,18,18,0,0,-0.0459315460329597585944088669914816089333859199860058448171075,-0.00335266351298036186677439396225895454280836618257622733904455,-0.152921904735948742138796686163595922689015045202746063765685,0.189611780781547562984364320842401007969149349288862746889323,9,18,registered dependence-aware circular moving-block bootstrap; Holm family of 36,overlapping windows; registered block-bootstrap inference only for H1/H2
historical-confirmatory-nonunit,Historical primary non-unit frictionless cells,historical,confirmatory for H1/H2; secondary for architecture,corrected_guarded_vs_neutral_guarded,corrected-mean signal contribution,18,17,0,1,-0.00545342713737186257617090539443406886427217667683250453271505,0.00051799033724719057717082244865511868391588961045313337115452,-0.0441014503999232385726791732010573265668454713805957259459206,0.069286604037190241432098271447774810237285329677279287257761,0,18,registered dependence-aware circular moving-block bootstrap; Holm family of 36,overlapping windows; registered block-bootstrap inference only for H1/H2
historical-confirmatory-nonunit,Historical primary non-unit frictionless cells,historical,confirmatory for H1/H2; secondary for architecture,neutral_guarded_vs_dca,safety-architecture behavior,18,18,0,0,-0.0436523286914362512249819879531330378151278151589582921167598,-0.00340080934164462072522873845525413259716572040514018799939384,-0.114143822281494257587758838096644321331548157797497773776662,0.135710607417988092229946191882433314930958562493163801799095,,,descriptive; no registered test,overlapping windows; registered block-bootstrap inference only for H1/H2
historical-monthly-robustness-nonunit,Historical monthly robustness coverage cells,historical,registered robustness,corrected_guarded_vs_dca,complete-system performance,30,30,0,0,-0.0481338209348548054116170571625615898345023718995411937533766,-0.000335266351298036186677439396225895454280836618257622733906788,-0.161080070260517548831304004443821155986659657435242513998281,0.202230723005163889028350116688858048363809040488929346550054,,,descriptive; no registered test,descriptive only; no uncertainty or multiplicity test
historical-monthly-robustness-nonunit,Historical monthly robustness coverage cells,historical,registered robustness,corrected_guarded_vs_neutral_guarded,corrected-mean signal contribution,30,30,0,0,-0.0058355480978338486533359977608845253626660930748765983798787,-0.00000243459095271114837484611872917363329634841216369913410436048,-0.0454705999549329515374191032331853723913752456035656174585534,0.0704719860796203657442632473732103663185856387632548434516532,,,descriptive; no registered test,descriptive only; no uncertainty or multiplicity test
historical-monthly-robustness-nonunit,Historical monthly robustness coverage cells,historical,registered robustness,neutral_guarded_vs_dca,safety-architecture behavior,30,30,0,0,-0.0472164321823228253214675610645035336534846289178291376806173,-0.000340080934164462072522873845525413259716572040514018799942479,-0.122926396400592499228077193307384340333099363816944877165187,0.149976548551286556720474614006972297384388375817513998108035,,,descriptive; no registered test,descriptive only; no uncertainty or multiplicity test
historical-quarterly-robustness-nonunit,Historical quarterly robustness horizon cells,historical,registered robustness,corrected_guarded_vs_dca,complete-system performance,48,48,0,0,-0.234840690805062833289561673682323843177716042519542029296552,-0.000260288587293584332760205199199741901909112779052666312327927,-0.273824646476994240079539936623686084376418103905775839852345,0.321581698069030574772215274471347013329387012935933156128862,,,descriptive; no registered test,descriptive within schedule; no uncertainty or multiplicity test
historical-quarterly-robustness-nonunit,Historical quarterly robustness horizon cells,historical,registered robustness,corrected_guarded_vs_neutral_guarded,corrected-mean signal contribution,48,40,0,8,-0.092164018038804945521907835142300847070760889781367377266065,0.00056980685537117546031452573878663325158878875130113254889053,-0.0991071559563597745926138266340156908574842599934072054913655,0.0999267570576823295196818216985891515851012788434616682458093,,,descriptive; no registered test,descriptive within schedule; no uncertainty or multiplicity test
historical-quarterly-robustness-nonunit,Historical quarterly robustness horizon cells,historical,registered robustness,neutral_guarded_vs_dca,safety-architecture behavior,48,48,0,0,-0.157180528770477490064713527579264499573965244726710007861303,-0.000257521935004543547685101522182528460000930921175504359776022,-0.238526716415588680226322646456103186958101113964562123728974,0.273825858816137016013187660077394951199914134355076366994156,,,descriptive; no registered test,descriptive within schedule; no uncertainty or multiplicity test
